HPLC_ID	Site	Experiment	Plant_ID	Type	Stg	Weight	Harvested	Extracted	Leachtime	Location	Batch	rand
6675	MAH	Field2014	kw_1397	rosette	R	6.7	12-Jun-14	19-Aug-14	68	p48_A_03	p48	0.365162126
7436	MAH	Field2014	kw_2256	rosette	R	2.7	12-Jun-14	19-Aug-14	68	p48_A_04	p48	0.365920149
6613	ALD	Field2014	kw_1100	rosette	B	6.8	8-Jun-14	19-Aug-14	72	p48_A_05	p48	0.366027094
6204	ALD	Field2014	kw_1115	rosette	R	7.9	6-Jun-14	19-Aug-14	74	p48_A_06	p48	0.366090095
7435	MAH	Field2014	kw_2265	rosette	R	3.7	12-Jun-14	19-Aug-14	68	p48_A_07	p48	0.367202125
7311	MAH	Field2014	kw_1517	rosette	R	6.8	12-Jun-14	19-Aug-14	68	p48_A_08	p48	0.367590194
7838	JAM	Field2014	kw_2850	rosette	R	2.1	28-Jun-14	19-Aug-14	52	p48_A_09	p48	0.370793676
7119	SIL	Field2014	kw_3984	rosette	R	3.7	10-Jun-14	19-Aug-14	70	p48_A_10	p48	0.371043558
7258	MAH	Field2014	kw_2103	rosette	R	4.5	12-Jun-14	19-Aug-14	68	p48_A_11	p48	0.373302894
6810	ALD	Field2014	kw_0370	rosette	B	3.4	6-Jun-14	19-Aug-14	74	p48_A_12	p48	0.375350996
7431	MAH	Field2014	kw_2211	rosette	R	1.9	12-Jun-14	19-Aug-14	68	p48_B_01	p48	0.375739822
7079	SIL	Field2014	kw_3860	rosette	FO	1.4	10-Jun-14	19-Aug-14	70	p48_B_02	p48	0.376686354
6201	ALD	Field2014	kw_1102	rosette	FS2	9.6	6-Jun-14	19-Aug-14	74	p48_B_03	p48	0.376971866
7086	SIL	Field2014	kw_3998	rosette	FO	2.9	10-Jun-14	19-Aug-14	70	p48_B_04	p48	0.377029131
6848	SIL	Field2014	kw_3386	rosette	B	5.5	10-Jun-14	19-Aug-14	70	p48_B_05	p48	0.377181516
7824	JAM	Field2014	kw_2823	rosette	R	5.4	28-Jun-14	19-Aug-14	52	p48_B_06	p48	0.377251054
6481	ALD	Field2014	kw_0487	rosette	FO	5.1	6-Jun-14	19-Aug-14	74	p48_B_07	p48	0.378200433
6319	ALD	Field2014	kw_0180	rosette	B	2.4	6-Jun-14	19-Aug-14	74	p48_B_08	p48	0.378855041
7091	SIL	Field2014	kw_3834	rosette	B	1.9	10-Jun-14	19-Aug-14	70	p48_B_09	p48	0.379373803
6216	ALD	Field2014	kw_1124	rosette	B	2.9	6-Jun-14	19-Aug-14	74	p48_B_10	p48	0.380416151
7442	MAH	Field2014	kw_2262	rosette	R	2.7	12-Jun-14	19-Aug-14	68	p48_B_11	p48	0.382126794
6260	ALD	Field2014	kw_1183	rosette	FO	4	6-Jun-14	19-Aug-14	74	p48_B_12	p48	0.384035571
6505	ALD	Field2014	kw_0205	rosette	B	2.5	6-Jun-14	19-Aug-14	74	p48_C_01	p48	0.385102048
6239	ALD	Field2014	kw_1155	rosette	B	2.8	6-Jun-14	19-Aug-14	74	p48_C_02	p48	0.387177037
7620	JAM	Field2014	kw_2954	rosette	B	2.3	28-Jun-14	19-Aug-14	52	p48_C_03	p48	0.387412827
7511	MAH	Field2014	kw_1907	rosette	B	3	12-Jun-14	19-Aug-14	68	p48_C_04	p48	0.388367208
7390	JAM	Field2014	kw_2561	rosette	R	3.4	28-Jun-14	19-Aug-14	52	p48_C_05	p48	0.388699896
6471	ALD	Field2014	kw_0476	rosette	B	7.4	6-Jun-14	19-Aug-14	74	p48_C_06	p48	0.388932983
7604	JAM	Field2014	kw_2697	rosette	B	4.3	28-Jun-14	19-Aug-14	52	p48_C_07	p48	0.389223789
6934	SIL	Field2014	kw_3610	rosette	R	2.5	10-Jun-14	19-Aug-14	70	p48_C_08	p48	0.389814436
6369	SIL	Field2014	kw_3244	rosette	FO	2.2	10-Jun-14	19-Aug-14	70	p48_C_09	p48	0.389867224
6571	ALD	Field2014	kw_1242	rosette	R	3.7	6-Jun-14	19-Aug-14	74	p48_C_10	p48	0.391177079
6533	ALD	Field2014	kw_1276	rosette	R	2.8	6-Jun-14	19-Aug-14	74	p48_C_11	p48	0.391351546
6235	ALD	Field2014	kw_0812	rosette	FO	2.8	8-Jun-14	19-Aug-14	72	p48_C_12	p48	0.391465634
7359	MAH	Field2014	kw_1435	rosette	R	4.9	12-Jun-14	19-Aug-14	68	p48_D_01	p48	0.391608866
6637	ALD	Field2014	kw_0966	rosette	FO	7.8	8-Jun-14	19-Aug-14	72	p48_D_02	p48	0.392023433
6285	ALD	Field2014	kw_0597	rosette	FO	3.1	6-Jun-14	19-Aug-14	74	p48_D_03	p48	0.392325816
6214	ALD	Field2014	kw_1121	rosette	FS2	1.5	6-Jun-14	19-Aug-14	74	p48_D_04	p48	0.392355042
7381	JAM	Field2014	kw_2631	rosette	R	2.5	28-Jun-14	19-Aug-14	52	p48_D_05	p48	0.392818993
6416	SIL	Field2014	kw_3312	rosette	FO	1.6	10-Jun-14	19-Aug-14	70	p48_D_06	p48	0.393234069
6275	ALD	Field2014	kw_0262	rosette	B	1.6	6-Jun-14	19-Aug-14	74	p48_D_07	p48	0.393404918
7717	JAM	Field2014	kw_3185	rosette	B	4.6	28-Jun-14	19-Aug-14	52	p48_D_08	p48	0.393810662
6351	ALD	Field2014	kw_0074	rosette	FO	2.3	6-Jun-14	19-Aug-14	74	p48_D_09	p48	0.393996267
6601	ALD	Field2014	kw_1062	rosette	B	5.8	8-Jun-14	19-Aug-14	72	p48_D_10	p48	0.394474378
7182	MAH	Field2014	kw_1715	rosette	R	3.2	12-Jun-14	19-Aug-14	68	p48_D_11	p48	0.395447072
6619	ALD	Field2014	kw_1010	rosette	FO	8.9	8-Jun-14	19-Aug-14	72	p48_D_12	p48	0.395561959
6870	SIL	Field2014	kw_3408	rosette	FO	3.4	10-Jun-14	19-Aug-14	70	p48_E_01	p48	0.3957297
7422	MAH	Field2014	kw_2227	rosette	R	3.6	12-Jun-14	19-Aug-14	68	p48_E_02	p48	0.396190975
7755	JAM	Field2014	kw_2482	rosette	R	1.5	28-Jun-14	19-Aug-14	52	p48_E_03	p48	0.396627225
6525	ALD	Field2014	kw_1260	rosette	FO	3.4	6-Jun-14	19-Aug-14	74	p48_E_04	p48	0.397144443
6451	ALD	Field2014	kw_0445	rosette	FO	3	6-Jun-14	19-Aug-14	74	p48_E_05	p48	0.397784669
6572	ALD	Field2014	kw_1245	rosette	FO	4.1	6-Jun-14	19-Aug-14	74	p48_E_06	p48	0.399706794
7740	JAM	Field2014	kw_2433	rosette	B	2.1	28-Jun-14	19-Aug-14	52	p48_E_07	p48	0.401209766
7046	SIL	Field2014	kw_0764	rosette	FO	2.4	10-Jun-14	19-Aug-14	70	p48_E_08	p48	0.401218676
6842	ALD	Field2014	kw_0422	rosette	FS1	4.9	6-Jun-14	19-Aug-14	74	p48_E_09	p48	0.401834717
7565	MAH	Field2014	kw_1808	rosette	R	2.7	12-Jun-14	19-Aug-14	68	p48_E_10	p48	0.402332171
6927	SIL	Field2014	kw_3577	rosette	B	2.1	10-Jun-14	19-Aug-14	70	p48_E_11	p48	0.402694017
6550	ALD	Field2014	kw_0523	rosette	FO	9.5	6-Jun-14	19-Aug-14	74	p48_E_12	p48	0.404000476
6867	SIL	Field2014	kw_3403	rosette	FO	5.2	10-Jun-14	19-Aug-14	70	p48_F_01	p48	0.404843817
6937	SIL	Field2014	kw_3641	rosette	B	1.4	10-Jun-14	19-Aug-14	70	p48_F_02	p48	0.406140249
6972	SIL	Field2014	kw_3718	rosette	SO	2.5	10-Jun-14	19-Aug-14	70	p48_F_03	p48	0.406356526
6424	SIL	Field2014	kw_3324	rosette	R	2.9	10-Jun-14	19-Aug-14	70	p48_F_04	p48	0.406683747
