HPLC_ID	RetTime	Area	GS
7042	1.537	644.2	sinigrin	
7042	2.892	40.08	1ME	
7042	5.517	2697.27	6MSOH	
7042	5.803	30.42	1MP	
6920	1.02	334.31	2OH1ME	
6920	1.544	650.41	sinigrin	
6920	2.92	27.93	1ME	
6920	5.524	39.61	6MSOH	
6388	1.596	846.48	sinigrin	
6388	3.025	188.65	1ME	
6388	5.581	13.26	6MSOH	
6388	5.823	99.19	1MP	
7719	1.513	708.95	sinigrin	
7719	2.896	1209.75	1ME	
7719	5.544	69.55	6MSOH	
7719	5.775	247.73	1MP	
6417	1.598	687.97	sinigrin	
6417	5.604	221.69	6MSOH	
7445	1.131	89.6	2OH1ME	
7445	1.635	753.73	sinigrin	
7445	3.012	204.02	1ME	
7445	5.563	121.88	6MSOH	
7224	1.535	631.16	sinigrin	
7224	2.955	212.1	1ME	
7224	5.543	102.11	6MSOH	
7224	5.774	35.25	1MP	
7646	1.524	672.54	sinigrin	
7646	2.91	194.21	1ME	
7646	5.764	41.66	1MP	
7508	1.15	198.27	2OH1ME	
7508	1.613	1049.69	sinigrin	
7508	3.049	821.55	1ME	
7508	5.569	730.33	6MSOH	
7508	5.822	5.79	1MP	
6768	1.525	677.07	sinigrin	
6768	2.905	249.3	1ME	
6768	5.542	13.93	6MSOH	
6768	5.772	15.86	1MP	
6273	1.035	1402.87	2OH1ME	
6273	1.52	710.82	sinigrin	
6273	2.894	572.87	1ME	
6273	5.537	400.47	6MSOH	
7314	1.025	597.24	2OH1ME	
7314	1.544	681.55	sinigrin	
7314	2.927	383.81	1ME	
7314	5.534	671.09	6MSOH	
7411	1.525	623.02	sinigrin	
7411	2.906	328.72	1ME	
7411	5.544	65.69	6MSOH	
7411	5.772	177.93	1MP	
7131	1.59	836.7	sinigrin	
7131	5.565	16.64	6MSOH	
7610	1.596	923.04	sinigrin	
7610	3.025	1936.42	1ME	
7610	5.57	157.77	6MSOH	
7610	5.814	544.1	1MP	
6259	1.511	705.75	sinigrin	
6259	2.903	110.03	1ME	
6259	5.775	38.74	1MP	
6459	1.036	3148.26	2OH1ME	
6459	1.525	692.82	sinigrin	
6459	2.897	52.14	1ME	
6459	5.54	376.62	6MSOH	
7507	1.018	248.68	2OH1ME	
7507	1.538	645.29	sinigrin	
7507	2.929	195.03	1ME	
7507	5.523	18.68	6MSOH	
6486	1.537	663.67	sinigrin	
6486	2.915	783.65	1ME	
6486	5.542	122.45	6MSOH	
6486	5.771	415.64	1MP	
7626	1.549	666.52	sinigrin	
7626	2.928	1170.32	1ME	
7626	5.526	351.33	6MSOH	
7626	5.757	198.82	1MP	
7295	1.598	890.77	sinigrin	
7295	2.971	54.5	1ME	
7295	5.554	3373.74	6MSOH	
7312	1.531	743.67	sinigrin	
7312	5.559	146.84	6MSOH	
6949	1.036	992.02	2OH1ME	
6949	1.522	722.31	sinigrin	
6949	2.897	210.38	1ME	
6949	5.536	170.38	6MSOH	
6876	1.03	1755.27	2OH1ME	
6876	1.555	689.23	sinigrin	
6876	2.939	207.46	1ME	
6876	5.546	151.8	6MSOH	
6876	5.773	10.24	1MP	
7064	1.545	642.99	sinigrin	
7064	2.923	77.01	1ME	
7064	5.523	16.57	6MSOH	
