Plant_ID	Site	NumFr	AvgFr
kw_0001	ALD		
kw_0002	ALD		
kw_0003	ALD		
kw_0004	ALD		
kw_0005	ALD	4	26
kw_0006	ALD		
kw_0007	ALD		
kw_0008	ALD		
kw_0009	ALD		
kw_0010	ALD		
kw_0011	ALD	0	
kw_0012	ALD		
kw_0013	ALD		
kw_0014	ALD		
kw_0015	ALD		
kw_0016	ALD		
kw_0017	ALD		
kw_0018	ALD		
kw_0019	ALD		
kw_0020	ALD		
kw_0021	ALD	4	40
kw_0022	ALD		
kw_0023	ALD		
kw_0024	ALD		
kw_0025	ALD		
kw_0026	ALD		
kw_0027	ALD	5	28
kw_0028	ALD		
kw_0029	ALD	4	19
kw_0030	ALD		
kw_0031	ALD		
kw_0032	ALD		
kw_0033	ALD		
kw_0034	ALD		
kw_0035	ALD		
kw_0036	ALD		
kw_0037	ALD		
kw_0038	ALD		
kw_0039	ALD		
kw_0040	ALD	3	21
kw_0041	ALD		
kw_0042	ALD		
kw_0043	ALD		
kw_0044	ALD		
kw_0045	ALD	2	19
kw_0046	ALD		
kw_0047	ALD		
kw_0048	ALD		
kw_0049	ALD		
kw_0050	ALD		
kw_0051	ALD		
kw_0052	ALD		
kw_0053	ALD		
kw_0054	ALD		
kw_0055	ALD		
kw_0056	ALD		
kw_0057	ALD		
kw_0058	ALD		
kw_0059	ALD		
kw_0060	ALD		
kw_0061	ALD		
kw_0062	ALD		
kw_0063	ALD		
kw_0064	ALD		
kw_0065	ALD	1	16
kw_0066	ALD		
kw_0067	ALD		
kw_0068	ALD		
kw_0069	ALD		
kw_0070	ALD		
kw_0071	ALD		
kw_0072	ALD		
kw_0073	ALD		
kw_0074	ALD	0	
kw_0075	ALD		
kw_0076	ALD	0	
kw_0077	ALD		
kw_0078	ALD		
kw_0079	ALD		
kw_0080	ALD		
kw_0081	ALD		
kw_0082	ALD	0	
kw_0083	ALD		
kw_0084	ALD		
kw_0085	ALD		
kw_0086	ALD		
kw_0087	ALD		
kw_0088	ALD		
kw_0089	ALD		
kw_0090	ALD		
kw_0091	ALD		
kw_0092	ALD		
kw_0093	ALD		
kw_0094	ALD		
kw_0095	ALD		
kw_0096	ALD		
kw_0097	ALD		
kw_0098	ALD		
kw_0099	ALD		
kw_0100	ALD		
kw_0101	ALD		
kw_0102	ALD		
kw_0103	ALD		
kw_0104	ALD		
kw_0105	ALD		
kw_0106	ALD		
kw_0107	ALD	0	
kw_0108	ALD		
kw_0109	ALD		
kw_0110	ALD		
kw_0111	ALD	4	17
kw_0112	ALD		
kw_0113	ALD		
kw_0114	ALD		
kw_0115	ALD		
kw_0116	ALD		
kw_0117	ALD		
kw_0118	ALD		
kw_0119	ALD		
kw_0120	ALD		
kw_0121	ALD		
kw_0122	ALD		
kw_0123	ALD		
kw_0124	ALD		
kw_0125	ALD		
kw_0126	ALD		
kw_0127	ALD		
kw_0128	ALD		
kw_0129	ALD		
kw_0130	ALD		
kw_0131	ALD		
kw_0132	ALD		
kw_0133	ALD		
kw_0134	ALD	1	11
kw_0135	ALD	1	23
kw_0136	ALD		
kw_0137	ALD		
kw_0138	ALD		
kw_0139	ALD		
kw_0140	ALD		
kw_0141	ALD		
kw_0142	ALD	1	22
kw_0143	ALD		
kw_0144	ALD		
kw_0145	ALD		
kw_0146	ALD		
kw_0147	ALD		
kw_0148	ALD		
kw_0149	ALD		
kw_0150	ALD		
kw_0151	ALD		
kw_0152	ALD		
kw_0153	ALD		
kw_0154	ALD		
kw_0155	ALD		
kw_0156	ALD		
kw_0157	ALD		
kw_0158	ALD	4	24
kw_0159	ALD		
kw_0160	ALD		
kw_0161	ALD		
kw_0162	ALD	8	25
kw_0163	ALD		
kw_0164	ALD		
kw_0165	ALD		
kw_0166	ALD	4	33
kw_0167	ALD		
kw_0168	ALD	5	15
kw_0169	ALD		
kw_0170	ALD		
kw_0171	ALD		
kw_0172	ALD		
kw_0173	ALD		
kw_0174	ALD		
kw_0175	ALD		
kw_0176	ALD	9	26
kw_0177	ALD	2	21
kw_0178	ALD	7	17
kw_0179	ALD	3	22
kw_0180	ALD		
kw_0181	ALD		
kw_0182	ALD		
kw_0183	ALD		
kw_0184	ALD		
kw_0185	ALD		
kw_0186	ALD		
kw_0187	ALD	8	33
kw_0188	ALD		
kw_0189	ALD		
kw_0190	ALD		
kw_0191	ALD		
kw_0192	ALD		
kw_0193	ALD		
kw_0194	ALD		
kw_0195	ALD		
kw_0196	ALD		
kw_0197	ALD	4	34
kw_0198	ALD	4	25
kw_0199	ALD		
kw_0200	ALD		
kw_0201	ALD		
kw_0202	ALD		
kw_0203	ALD		
kw_0204	ALD		
kw_0205	ALD		
kw_0206	ALD		
kw_0207	ALD		
kw_0208	ALD		
kw_0209	ALD		
kw_0210	ALD		
kw_0211	ALD		
kw_0212	ALD		
kw_0213	ALD		
kw_0214	ALD		
kw_0215	ALD		
kw_0216	ALD		
kw_0217	ALD		
kw_0218	ALD		
kw_0219	ALD		
kw_0220	ALD		
kw_0221	ALD		
kw_0222	ALD		
kw_0223	ALD		
kw_0224	ALD		
kw_0225	ALD		
kw_0226	ALD		
kw_0227	ALD		
kw_0228	ALD		
kw_0229	ALD		
kw_0230	ALD		
kw_0231	ALD		
kw_0232	ALD		
kw_0233	ALD		
kw_0234	ALD		
kw_0235	ALD		
kw_0236	ALD		
kw_0237	ALD		
kw_0238	ALD		
kw_0239	ALD		
kw_0240	ALD		
kw_0241	ALD		
kw_0242	ALD		
kw_0243	ALD		
kw_0244	ALD		
kw_0245	ALD		
kw_0246	ALD		
kw_0247	ALD		
kw_0248	ALD		
kw_0249	ALD		
kw_0250	ALD		
kw_0251	ALD		
kw_0252	ALD		
kw_0253	ALD		
kw_0254	ALD		
kw_0255	ALD		
kw_0256	ALD		
kw_0257	ALD		
kw_0258	ALD		
kw_0259	ALD		
kw_0260	ALD		
kw_0261	ALD		
kw_0262	ALD		
kw_0263	ALD		
kw_0264	ALD		
kw_0265	ALD		
kw_0266	ALD		
kw_0267	ALD		
kw_0268	ALD		
kw_0269	ALD		
kw_0270	ALD		
kw_0271	ALD		
kw_0272	ALD		
kw_0273	ALD		
kw_0274	ALD		
kw_0275	ALD		
kw_0276	ALD		
kw_0277	ALD		
kw_0278	ALD		
kw_0279	ALD		
kw_0280	ALD		
kw_0281	ALD		
kw_0282	ALD		
kw_0283	ALD		
kw_0284	ALD		
kw_0285	ALD		
kw_0286	ALD		
kw_0287	ALD		
kw_0288	ALD		
kw_0289	ALD		
kw_0290	ALD		
kw_0291	ALD	0	
kw_0292	ALD		
kw_0293	ALD		
kw_0294	ALD		
kw_0295	ALD		
kw_0296	ALD		
kw_0297	ALD		
kw_0298	ALD		
kw_0299	ALD		
kw_0300	ALD		
kw_0301	ALD	4	16
kw_0302	ALD	0	
kw_0303	ALD		
kw_0304	ALD	0	
kw_0305	ALD		
kw_0306	ALD		
kw_0307	ALD		
kw_0308	ALD	0	
kw_0309	ALD		
kw_0310	ALD	0	
kw_0311	ALD		
kw_0312	ALD		
kw_0313	ALD		
kw_0314	ALD	0	
kw_0315	ALD		
kw_0316	ALD		
kw_0317	ALD		
kw_0318	ALD		
kw_0319	ALD		
kw_0320	ALD	2	12
kw_0321	ALD		
kw_0322	ALD		
kw_0323	ALD		
kw_0324	ALD	0	
kw_0325	ALD		
kw_0326	ALD		
kw_0327	ALD		
kw_0328	ALD		
kw_0329	ALD	0	
kw_0330	ALD		
kw_0331	ALD	0	
kw_0332	ALD		
kw_0333	ALD		
kw_0334	ALD	0	
kw_0335	ALD	0	
kw_0336	ALD		
kw_0337	ALD		
kw_0338	ALD		
kw_0339	ALD	3	21
kw_0340	ALD	0	
kw_0341	ALD	0	
kw_0342	ALD	0	
kw_0343	ALD		
kw_0344	ALD		
