Block	a.01	a.02	a.03	a.04	a.05	a.06	a.07	a.08	a.09	a.10	a.11	a.12	j.01	j.02	j.03	j.04	j.05	j.06	j.07	j.08	j.09	j.10
Lupine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achillea	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1
Dandelion	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1
Potentilla 1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1
Red clover	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Grass #1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Strawberry	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	1	1
iris	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0
Carex #1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0
Grass #2 fescue	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1
juncus	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1
collomia	1	0	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1
“hieracium” DYC	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1
Grass #3 green head	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Grass #4 fuzzy brown pennisetum	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0
collinsia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
broad spearleaf	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
delphinium	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
pearly everlasting	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
brown tufty grass	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carex #2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
bean	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
violet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
