Block	p.01	p.02	p.03	p.04	p.05	p.06	p.07	p.08	p.09	p.10	p.11	p.12	p.13	p.14	p.15	p.16
Lupine	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1
Achillea	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Dandelion	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1
Collomia	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1
Penstemon	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
Aster purple	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0
Little 5merous pale pink flower	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1
Hordeum like grass	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1
Grass 2 tall fuzzy	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1
Tufty grass	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1
Violet (early-blooming yellow)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Carex 3	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1
Hieracium-type thing	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1
Potentilla	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	0
Epilobium	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Carex	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0
Antennaria	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	0
Draba	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	0
Lewisia	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
Carex 2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
Limber pine	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Flat round leaf forb	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
long leaf antennaria thing	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
