Block	m.01	m.02	m.03	m.04	m.05	m.06	m.07	m.08	m.09	m.10	m.11	m.12	m.13	m.14	m.15	m.16	j.11	j.12	j.13	j.14	j.15	j.16
Dandelion	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
Grass #1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
Skinny grass	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1
Potentilla	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Antennaria thing	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	1
Penstemon	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0
Antennaria rosen (pearly everlasting-like)	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1
Valerian	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1
Lupine	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
Achillea	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0
Scottish moss-like thing	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
Geum	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1
Grass #2 flat blue	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Green gentian	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
Roundleaf B. stricta lookalike	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Draba	0	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0
DYC white midvein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0
Spruce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tiny yellow-flowering opposite leaves	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Moss	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Grass #3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
lanceolate thick leaf thing	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
divided leaf brown stem thing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Phlox	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Grass #4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
