Block	a.13	a.14	a.15	a.16	s.01	s.02	s.03	s.04	s.05	s.06	s.07	s.08	s.09	s.10	s.11	s.12	s.13	s.14	s.15	s.16
Scaly potentilla	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	1	1
Fuzzy potentilla	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
Smooth potentilla	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0
Strawberry	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Juncus	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1
Equisetum	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0
Little white flower 5merous	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Narrow leaved thing (aster?)	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Achillea	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
Antennaria	0	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1
Solidago?	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	0
Flat glaucous grass	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1
Thin green grass	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Timothy like grass	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	1	1
Greasy grass lookalike	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Panicoid grass	1	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1
Grass #6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
Fuzzy grass	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Arctostaphylos	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0
Violet	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0
Dandelion	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1
White clover	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1
Star solomon's seal	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1
Toothy leaved thing	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0
Opposite leaf fuzzy chickweed	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0
white cerastium?	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Rose	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
opposite leaf velvety thing	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
soil: switch a15 &s15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
campanula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lodgepole pine	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chamerion	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0
centaurea	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
purple aster	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
