Plant_ID	Block	Row	Col	Genotype	Site	Stg	TCO	H	LS	RosHPLC	Obs	
kw_0001	a.01	A	1	BHS	ALD	R		28		6361	MW	
kw_0002	a.01	A	2	MIL	ALD	X					MW	
kw_0003	a.01	A	3	SIL	ALD	FO		165		no RL	MW	
kw_0004	a.01	A	4	THT	ALD	B	1	28		6767	MW	
kw_0005	a.01	A	5	BHM	ALD	FS1		301	10	6768	MW	
kw_0006	a.01	A	6	THT	ALD	X					MW	
kw_0007	a.01	A	7	PAR	ALD	FO		152		6769	MW	
kw_0008	a.01	A	8	VNH	ALD	B		114		6770	MW	
kw_0009	a.01	A	9	RUB	ALD	B		166		6771	MW	
kw_0010	a.01	A	10	MFP	ALD	X					MW	
kw_0011	a.01	B	1	DDW	ALD	FO		133		6772	MW	
kw_0012	a.01	B	2	SIL	ALD	R		47		6773	MW	
kw_0013	a.01	B	3	IRF	ALD	R	1	41		6774	MW	
kw_0014	a.01	B	4	SAD	ALD	X					MW	
kw_0015	a.01	B	5	MAH	ALD	B	1	45		6775	MW	
kw_0016	a.01	B	6	DDW	ALD	B		74		6776	MW	
kw_0017	a.01	B	7	FLF	ALD	X					MW	
kw_0018	a.01	B	8	BSC	ALD	X					MW	
kw_0019	a.01	B	9	SAD	ALD	X					MW	
kw_0020	a.01	B	10	WHC	ALD	X					MW	
kw_0021	a.01	C	1	MIL	ALD	FS2		200	13	no RL	MW	
kw_0022	a.01	C	2	JAM	ALD	X					MW	
kw_0023	a.01	C	3	FLF	ALD	X					MW	
kw_0024	a.01	C	4	WHC	ALD	X					MW	
kw_0025	a.01	C	5	PAR	ALD	R		24		too small	MW	
kw_0026	a.01	C	6	BNK	ALD	R		32		too small	MW	
kw_0027	a.01	C	7	PCS	ALD	FS2		215	11	6777	MW	
kw_0028	a.01	C	8	LTM	ALD	X					MW	
kw_0029	a.01	C	9	BVC	ALD	FO		151		6778	MW	
kw_0030	a.01	C	10	VNH	ALD	B		108		6779	MW	
kw_0031	a.01	D	1	BVM	ALD	R		41		6780	MW	
kw_0032	a.01	D	2	HMC	ALD	X					MW	
kw_0033	a.01	D	3	BSC	ALD	X					MW	
kw_0034	a.01	D	4	ECM	ALD	X					MW	
kw_0035	a.01	D	5	LTM	ALD	X					MW	
kw_0036	a.01	D	6	ECM	ALD	X					MW	
kw_0037	a.01	D	7	MAH	ALD	X					MW	
kw_0038	a.01	D	8	BVC	ALD	FO		116		6781	MW	
kw_0039	a.01	D	9	RUB	ALD	B		121		6782	MW	
kw_0040	a.01	D	10	PCS	ALD	FS1		245	12	6783	MW	
kw_0041	a.01	E	1	BNK	ALD	X					MW	
kw_0042	a.01	E	2	BHM	ALD	FS1		233	9	no RL	MW	
kw_0043	a.01	E	3	HMC	ALD	X					MW	
kw_0044	a.01	E	4	EGM	ALD	X					MW	
kw_0045	a.01	E	5	IRF	ALD	FO		200		6784	MW	
kw_0046	a.01	E	6	MFP	ALD	X					MW	
kw_0047	a.01	E	7	BHS	ALD	R		35		6785	MW	
kw_0048	a.01	E	8	EGM	ALD	X					MW	
kw_0049	a.01	E	9	JAM	ALD	X					MW	
kw_0050	a.01	E	10	BVM	ALD	B		31		6786	MW	
kw_0051	a.02	A	1	BHM	ALD	R		36		too small	MO	
kw_0052	a.02	A	2	MIL	ALD	X					MO	
kw_0053	a.02	A	3	SAD	ALD	R		43		6343	MO	
kw_0054	a.02	A	4	BVM	ALD	FO		124		6344	MO	
kw_0055	a.02	A	5	RUB	ALD	B		116		6345	MO	
kw_0056	a.02	A	6	FLF	ALD	X					MO	
kw_0057	a.02	A	7	LTM	ALD	FO		160		no RL	MO	
kw_0058	a.02	A	8	SAD	ALD	X					MO	
kw_0059	a.02	A	9	HMC	ALD	X					MO	
kw_0060	a.02	A	10	ECM	ALD	B	1	98		no RL	MO	
kw_0061	a.02	B	1	BVC	ALD	R		49		6342	MO	
kw_0062	a.02	B	2	MFP	ALD	X					MO	
kw_0063	a.02	B	3	PAR	ALD	X					MO	
kw_0064	a.02	B	4	PCS	ALD	FO		155		no RL	MO	
kw_0065	a.02	B	5	THT	ALD	FO		124		6346	MO	
kw_0066	a.02	B	6	RUB	ALD	B		151		6347	MO	
kw_0067	a.02	B	7	MAH	ALD	X					MO	
kw_0068	a.02	B	8	VNH	ALD	B		154		6348	MO	
kw_0069	a.02	B	9	BHS	ALD	X					MO	
kw_0070	a.02	B	10	SIL	ALD	R		54		6349	MO	
