Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	Notes	RosHPLC	CauHPLC	FrHPLC
kw_2401	p.01	A	1	BHS	JAM	MW	X																	
kw_2402	p.01	A	2	MIL	JAM	MW	X																	
kw_2403	p.01	A	3	SIL	JAM	MW	X																	
kw_2404	p.01	A	4	THT	JAM	MW	R		0	27		12	3	20										
kw_2405	p.01	A	5	BHM	JAM	MW	B		1	49		7	1	60										
kw_2406	p.01	A	6	THT	JAM	MW	R		0	67		18	2	10										
kw_2407	p.01	A	7	PAR	JAM	MW	X																	
kw_2408	p.01	A	8	VNH	JAM	MW	R		0	48		9	4	15										
kw_2409	p.01	A	9	RUB	JAM	MW	B		1	46		19	2	50										
kw_2410	p.01	A	10	MFP	JAM	MW	B		1	102		9	3	10										
kw_2411	p.01	B	1	DDW	JAM	MW	B		1	188		12	3	10										
kw_2412	p.01	B	2	SIL	JAM	MW	R		0	36		10	4	25										
kw_2413	p.01	B	3	IRF	JAM	MW	X																	
kw_2414	p.01	B	4	SAD	JAM	MW	X																	
kw_2415	p.01	B	5	MAH	JAM	MW	X																	
kw_2416	p.01	B	6	DDW	JAM	MW	M																	
kw_2417	p.01	B	7	FLF	JAM	MW	X																	
kw_2418	p.01	B	8	BSC	JAM	MW	FS2		0	195		9	6	60					42					
kw_2419	p.01	B	9	SAD	JAM	MW	X																	
kw_2420	p.01	B	10	WHC	JAM	MW	X																	
kw_2421	p.01	C	1	MIL	JAM	MW	X																	
kw_2422	p.01	C	2	JAM	JAM	MW	X																	
kw_2423	p.01	C	3	FLF	JAM	MW	X																	
kw_2424	p.01	C	4	WHC	JAM	MW	X																	
kw_2425	p.01	C	5	PAR	JAM	MW	X																	
kw_2426	p.01	C	6	BNK	JAM	MW	X																	
kw_2427	p.01	C	7	PCS	JAM	MW	X																	
kw_2428	p.01	C	8	LTM	JAM	MW	B		1	63		3	0	0										
kw_2429	p.01	C	9	BVC	JAM	MW	R		0	62		15	3	30										
kw_2430	p.01	C	10	VNH	JAM	MW	X																	
kw_2431	p.01	D	1	BVM	JAM	MW	B		1	92		10	0	0										
kw_2432	p.01	D	2	HMC	JAM	MW	X																	
kw_2433	p.01	D	3	BSC	JAM	MW	SO		0	339		0	0	0					62					
kw_2434	p.01	D	4	ECM	JAM	MW	SO		0	284		0	0	0					49					
kw_2435	p.01	D	5	LTM	JAM	MW	X																	
kw_2436	p.01	D	6	ECM	JAM	MW	X																	
kw_2437	p.01	D	7	MAH	JAM	MW	X																	
kw_2438	p.01	D	8	BVC	JAM	MW	B		1	76		8	3	10										
kw_2439	p.01	D	9	RUB	JAM	MW	X																	
kw_2440	p.01	D	10	PCS	JAM	MW	X																	
kw_2441	p.01	E	1	BNK	JAM	MW	X																	
kw_2442	p.01	E	2	BHM	JAM	MW	X																	
kw_2443	p.01	E	3	HMC	JAM	MW	X																	
kw_2444	p.01	E	4	EGM	JAM	MW	R		0	49		21	6	15										
kw_2445	p.01	E	5	IRF	JAM	MW	X																	
kw_2446	p.01	E	6	MFP	JAM	MW	B		1	105		0	0	0										
kw_2447	p.01	E	7	BHS	JAM	MW	X																	
kw_2448	p.01	E	8	EGM	JAM	MW	X																	
