Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	RosHPLC	CauHPLC	FrHPLC	PUC	
kw_2401	p.01	A	1	BHS	JAM	CR	X	90																	
kw_2402	p.01	A	2	MIL	JAM	CR	X	90																	
kw_2403	p.01	A	3	SIL	JAM	CR	R	80	0	46											7727			0	
kw_2404	p.01	A	4	THT	JAM	CR	R	80	0	46											7728			0	
kw_2405	p.01	A	5	BHM	JAM	CR	B	90	0	104											7729			0	
kw_2406	p.01	A	6	THT	JAM	CR	R	90	0	61											7730			0	
kw_2407	p.01	A	7	PAR	JAM	CR	X	90																	
kw_2408	p.01	A	8	VNH	JAM	CR	R	90	0	53											7731			0	
kw_2409	p.01	A	9	RUB	JAM	CR	R	90	0	58											7732			0	
kw_2410	p.01	A	10	MFP	JAM	CR	B	80	0	118											7733			0	
kw_2411	p.01	B	1	DDW	JAM	CR	R	60	0	79											7734			0	
kw_2412	p.01	B	2	SIL	JAM	CR	R	70	0	45											7735			0	
kw_2413	p.01	B	3	IRF	JAM	CR	X	60																	
kw_2414	p.01	B	4	SAD	JAM	CR	X	70																	
kw_2415	p.01	B	5	MAH	JAM	CR	X	80																	
kw_2416	p.01	B	6	DDW	JAM	CR	X	90																	
kw_2417	p.01	B	7	FLF	JAM	CR	X	70																	
kw_2418	p.01	B	8	BSC	JAM	CR	B	90	0	63											7736			0	
kw_2419	p.01	B	9	SAD	JAM	CR	X	100																	
kw_2420	p.01	B	10	WHC	JAM	CR	X	80																	
kw_2421	p.01	C	1	MIL	JAM	CR	X	50																	
kw_2422	p.01	C	2	JAM	JAM	CR	X	40																	
kw_2423	p.01	C	3	FLF	JAM	CR	X	60																	
kw_2424	p.01	C	4	WHC	JAM	CR	X	50																	
kw_2425	p.01	C	5	PAR	JAM	CR	X	80																	
kw_2426	p.01	C	6	BNK	JAM	CR	X	80																	
kw_2427	p.01	C	7	PCS	JAM	CR	X	50																	
kw_2428	p.01	C	8	LTM	JAM	CR	R	70	0	68											7737			0	
kw_2429	p.01	C	9	BVC	JAM	CR	R	90	0	62											7738			0	
kw_2430	p.01	C	10	VNH	JAM	CR	X	50																	
kw_2431	p.01	D	1	BVM	JAM	CR	B	70	0	88											7739			0	
kw_2432	p.01	D	2	HMC	JAM	CR	X	50																	
kw_2433	p.01	D	3	BSC	JAM	CR	B	100	0	114											7740			0	
kw_2434	p.01	D	4	ECM	JAM	CR	B	60	0	84														0	
kw_2435	p.01	D	5	LTM	JAM	CR	X	60																	
kw_2436	p.01	D	6	ECM	JAM	CR	X	50																	
kw_2437	p.01	D	7	MAH	JAM	CR	X	40																	
kw_2438	p.01	D	8	BVC	JAM	CR	B	60	0	80											7741			0	
kw_2439	p.01	D	9	RUB	JAM	CR	X	60																	
kw_2440	p.01	D	10	PCS	JAM	CR	X	40																	
kw_2441	p.01	E	1	BNK	JAM	CR	X	80																	
kw_2442	p.01	E	2	BHM	JAM	CR	X	90																	
kw_2443	p.01	E	3	HMC	JAM	CR	B	30	0	68											7742			0	
kw_2444	p.01	E	4	EGM	JAM	CR	R	20	0	43											7743			0	
kw_2445	p.01	E	5	IRF	JAM	CR	X	60																	
kw_2446	p.01	E	6	MFP	JAM	CR	B	90	0	165											7744			0	
kw_2447	p.01	E	7	BHS	JAM	CR	X	80																	
kw_2448	p.01	E	8	EGM	JAM	CR	R	70	0	18														0	
kw_2449	p.01	E	9	JAM	JAM	CR	X	60																	
kw_2450	p.01	E	10	BVM	JAM	CR	R	70	0	64											7745			0	
kw_2451	p.02	A	1	BHM	JAM	CR	R	90	0	73											7746			0	
kw_2452	p.02	A	2	MIL	JAM	CR	X	60																	
kw_2453	p.02	A	3	SAD	JAM	CR	X	90																	
kw_2454	p.02	A	4	BVM	JAM	CR	R	100	0	66											7748			0	
kw_2455	p.02	A	5	RUB	JAM	CR	X	80																	
kw_2456	p.02	A	6	FLF	JAM	CR	R	90	0	42											7747			0	
kw_2457	p.02	A	7	LTM	JAM	CR	X	80																	
kw_2458	p.02	A	8	SAD	JAM	CR	M	70																	
kw_2459	p.02	A	9	HMC	JAM	CR	X	40																	
kw_2460	p.02	A	10	ECM	JAM	CR	X	70																	
kw_2461	p.02	B	1	BVC	JAM	CR	X	50																	
kw_2462	p.02	B	2	MFP	JAM	CR	B	90	0	158											7749			0	
kw_2463	p.02	B	3	PAR	JAM	CR	X	100																	
kw_2464	p.02	B	4	PCS	JAM	CR	R	90	0	34											7750			0	
kw_2465	p.02	B	5	THT	JAM	CR	X	80																	
kw_2466	p.02	B	6	RUB	JAM	CR	X	80																	
kw_2467	p.02	B	7	MAH	JAM	CR	X	80																	
kw_2468	p.02	B	8	VNH	JAM	CR	R	80	0	58											7751			0	
kw_2469	p.02	B	9	BHS	JAM	CR	X	70																	
kw_2470	p.02	B	10	SIL	JAM	CR	B	50	0	74											7752			0	
kw_2471	p.02	C	1	WHC	JAM	CR	X	50																	
kw_2472	p.02	C	2	MAH	JAM	CR	X	80																	
kw_2473	p.02	C	3	THT	JAM	CR	X	90																	
kw_2474	p.02	C	4	EGM	JAM	CR	B	100	0	115											7753			0	
