Plant_ID	Block	Row	Col	Genotype	Site	Stg_July25	Obs	Stg	TCO	H	cauLN	cauDLN	cauAD	N fruits left	Length fruit left	NOTES	LS
kw_2401	p.01	A	1	BHS	JAM		RK	X									
kw_2402	p.01	A	2	MIL	JAM	X	RK	X									
kw_2403	p.01	A	3	SIL	JAM	X	RK	X									
kw_2404	p.01	A	4	THT	JAM	R	RK	R									
kw_2405	p.01	A	5	BHM	JAM	B	RK	B	1	75	10	7	40				
kw_2406	p.01	A	6	THT	JAM	R	RK	R									
kw_2407	p.01	A	7	PAR	JAM	X	RK	X									
kw_2408	p.01	A	8	VNH	JAM	R	RK	R									
kw_2409	p.01	A	9	RUB	JAM	B	RK	R									
kw_2410	p.01	A	10	MFP	JAM	B	RK	B	1	105	8	7	80				
kw_2411	p.01	B	1	DDW	JAM	B	RK	B	1	192	14	13	30				
kw_2412	p.01	B	2	SIL	JAM	R	RK	R									
kw_2413	p.01	B	3	IRF	JAM	X	RK	X									
kw_2414	p.01	B	4	SAD	JAM	X	RK	X									
kw_2415	p.01	B	5	MAH	JAM	X	RK	X									
kw_2416	p.01	B	6	DDW	JAM	M	RK	M									
kw_2417	p.01	B	7	FLF	JAM	X	RK	X									
kw_2418	p.01	B	8	BSC	JAM	FS2	RK	SO	0	224	8	6	20				
kw_2419	p.01	B	9	SAD	JAM	X	RK	X									
kw_2420	p.01	B	10	WHC	JAM	X	RK	X									
kw_2421	p.01	C	1	MIL	JAM	X	RK	X									
kw_2422	p.01	C	2	JAM	JAM	X	RK	X									
kw_2423	p.01	C	3	FLF	JAM	X	RK	X									
kw_2424	p.01	C	4	WHC	JAM	X	RK	X									
kw_2425	p.01	C	5	PAR	JAM	X	RK	X									
kw_2426	p.01	C	6	BNK	JAM	X	RK	X									
kw_2427	p.01	C	7	PCS	JAM	X	RK	X									
kw_2428	p.01	C	8	LTM	JAM	B	RK	B	1	67	8	4	10				
kw_2429	p.01	C	9	BVC	JAM	R	RK	R									
kw_2430	p.01	C	10	VNH	JAM	X	RK	X									
kw_2431	p.01	D	1	BVM	JAM	B	RK	B	1	98	5	3	15				
kw_2432	p.01	D	2	HMC	JAM	X	RK	X									
kw_2433	p.01	D	3	BSC	JAM	SO	RK	SO	0	349	3	1	50				
kw_2434	p.01	D	4	ECM	JAM	SO	RK	SO	1	324	18	6	15				
kw_2435	p.01	D	5	LTM	JAM	X	RK	X									
kw_2436	p.01	D	6	ECM	JAM	X	RK	X									
kw_2437	p.01	D	7	MAH	JAM	X	RK	X									
kw_2438	p.01	D	8	BVC	JAM	B	RK	B	1	81	4	3	20				
kw_2439	p.01	D	9	RUB	JAM	X	RK	X									
kw_2440	p.01	D	10	PCS	JAM	X	RK	X									
kw_2441	p.01	E	1	BNK	JAM	X	RK	X									
kw_2442	p.01	E	2	BHM	JAM	X	RK	X									
kw_2443	p.01	E	3	HMC	JAM	X	RK	X									
kw_2444	p.01	E	4	EGM	JAM	R	RK	R									
kw_2445	p.01	E	5	IRF	JAM	X	RK	X									
kw_2446	p.01	E	6	MFP	JAM	B	RK	FO	1	100	12	2	60				
kw_2447	p.01	E	7	BHS	JAM	X	RK	X									
kw_2448	p.01	E	8	EGM	JAM	X	RK	X									
kw_2449	p.01	E	9	JAM	JAM	X	RK	X									
kw_2450	p.01	E	10	BVM	JAM	R	RK	R									
kw_2451	p.02	A	1	BHM	JAM	B	RK	B	1	85	4	2	20				
kw_2452	p.02	A	2	MIL	JAM	X	RK	X									
kw_2453	p.02	A	3	SAD	JAM	X	RK	X									
kw_2454	p.02	A	4	BVM	JAM	R	RK	R									
kw_2455	p.02	A	5	RUB	JAM	X	RK	X									
kw_2456	p.02	A	6	FLF	JAM	B	RK	B	1	64	3	3	40				
kw_2457	p.02	A	7	LTM	JAM	X	RK	X									
kw_2458	p.02	A	8	SAD	JAM	M	RK	M									
kw_2459	p.02	A	9	HMC	JAM	M	RK	X									
kw_2460	p.02	A	10	ECM	JAM	X	RK	X									
kw_2461	p.02	B	1	BVC	JAM	M	RK	M									
kw_2462	p.02	B	2	MFP	JAM	X	RK	X									
kw_2463	p.02	B	3	PAR	JAM	X	RK	X									
kw_2464	p.02	B	4	PCS	JAM	R	RK	R									
kw_2465	p.02	B	5	THT	JAM	X	RK	X									
kw_2466	p.02	B	6	RUB	JAM	X	RK	X									
kw_2467	p.02	B	7	MAH	JAM	X	RK	X									
kw_2468	p.02	B	8	VNH	JAM	R	RK	R									
kw_2469	p.02	B	9	BHS	JAM	X	RK	X									
kw_2470	p.02	B	10	SIL	JAM	B	RK	B	1	89	4	2	20				
kw_2471	p.02	C	1	WHC	JAM	X	RK	X									
kw_2472	p.02	C	2	MAH	JAM	X	RK	X									
kw_2473	p.02	C	3	THT	JAM	X	RK	X									
kw_2474	p.02	C	4	EGM	JAM	B	RK	B	1	71	4	4	30				
kw_2475	p.02	C	5	BNK	JAM	X	RK	X									
kw_2476	p.02	C	6	IRF	JAM	X	RK	X									
kw_2477	p.02	C	7	DDW	JAM	B	RK	B	0	46	8	5	30				
kw_2478	p.02	C	8	IRF	JAM	X	RK	X									
kw_2479	p.02	C	9	BNK	JAM	X	RK	X									
kw_2480	p.02	C	10	BSC	JAM	M	RK	M									
kw_2481	p.02	D	1	JAM	JAM	X	RK	X									
kw_2482	p.02	D	2	VNH	JAM	R	RK	R									
kw_2483	p.02	D	3	BVM	JAM	R	RK	R									
kw_2484	p.02	D	4	LTM	JAM	X	RK	X									
kw_2485	p.02	D	5	PCS	JAM	B	RK	B	1	45	3	3	50				
kw_2486	p.02	D	6	BHS	JAM	X	RK	X									
kw_2487	p.02	D	7	JAM	JAM	B	RK	B	1	49	3	3	40				
kw_2488	p.02	D	8	BSC	JAM	SO	RK	SO	0	252	16	6	20				
kw_2489	p.02	D	9	PAR	JAM	X	RK	X									
kw_2490	p.02	D	10	WHC	JAM	M	RK	X									
kw_2491	p.02	E	1	MIL	JAM	X	RK	X									
kw_2492	p.02	E	2	BHM	JAM	R	RK	R									
kw_2493	p.02	E	3	MFP	JAM	R	RK	R									
kw_2494	p.02	E	4	HMC	JAM	X	RK	X									
kw_2495	p.02	E	5	ECM	JAM	M	RK	M									
kw_2496	p.02	E	6	SIL	JAM	R	RK	R									
kw_2497	p.02	E	7	BVC	JAM	SO	RK	FS	0	185	15	13	20				
kw_2498	p.02	E	8	DDW	JAM	X	RK	X									
kw_2499	p.02	E	9	FLF	JAM	X	RK	X									
kw_2500	p.02	E	10	EGM	JAM	X	RK	X									
kw_2501	p.03	A	1	BNK	JAM	X	RK	X								BURIED BY NEW GOPHER MOUND	
kw_2502	p.03	A	2	WHC	JAM	X	RK	X								BURIED BY NEW GOPHER MOUND	
kw_2503	p.03	A	3	MFP	JAM	X	RK	X								BURIED BY NEW GOPHER MOUND	
kw_2504	p.03	A	4	BSC	JAM	X	RK	X									
kw_2505	p.03	A	5	PAR	JAM	X	RK	X									
kw_2506	p.03	A	6	MFP	JAM	X	RK	X									
kw_2507	p.03	A	7	EGM	JAM	X	RK	X									
kw_2508	p.03	A	8	DDW	JAM	M	RK	X									
kw_2509	p.03	A	9	EGM	JAM	X	RK	X									
kw_2510	p.03	A	10	ECM	JAM	R	RK	R									
kw_2511	p.03	B	1	BVM	JAM	X	RK	X								BURIED BY NEW GOPHER MOUND	
kw_2512	p.03	B	2	LTM	JAM	X	RK	X								BURIED BY NEW GOPHER MOUND	
kw_2513	p.03	B	3	PCS	JAM	X	RK	X								BURIED BY NEW GOPHER MOUND	
kw_2514	p.03	B	4	BHS	JAM	X	RK	X									
kw_2515	p.03	B	5	THT	JAM	X	RK	X									
kw_2516	p.03	B	6	PAR	JAM	X	RK	X									
kw_2517	p.03	B	7	ECM	JAM	X	RK	X									
kw_2518	p.03	B	8	IRF	JAM	X	RK	X									
kw_2519	p.03	B	9	MAH	JAM	X	RK	X									
kw_2520	p.03	B	10	FLF	JAM	X	RK	X									
kw_2521	p.03	C	1	RUB	JAM	X	RK	X									
kw_2522	p.03	C	2	BHM	JAM	X	RK	X									
kw_2523	p.03	C	3	SAD	JAM	X	RK	X									
kw_2524	p.03	C	4	THT	JAM	B	RK	B	0	87	12	2	10			TOP DRIED OUT	
kw_2525	p.03	C	5	BHM	JAM	B	RK	B	1	64	10	6	10				
kw_2526	p.03	C	6	MIL	JAM	X	RK	X									
kw_2527	p.03	C	7	FLF	JAM	R	RK	R									
kw_2528	p.03	C	8	BNK	JAM	X	RK	X									
kw_2529	p.03	C	9	PCS	JAM	B	RK	M									
kw_2530	p.03	C	10	IRF	JAM	R	RK	R									
kw_2531	p.03	D	1	BVM	JAM	X	RK	X									
kw_2532	p.03	D	2	JAM	JAM	X	RK	X									
kw_2533	p.03	D	3	VNH	JAM	X	RK	X									
kw_2534	p.03	D	4	HMC	JAM	X	RK	X									
kw_2535	p.03	D	5	VNH	JAM	FO	RK	FO	0	63	10	2	15				
kw_2536	p.03	D	6	JAM	JAM	R	RK	R									
kw_2537	p.03	D	7	MAH	JAM	X	RK	X									
kw_2538	p.03	D	8	RUB	JAM	X	RK	X									
kw_2539	p.03	D	9	BHS	JAM	X	RK	X									
kw_2540	p.03	D	10	SIL	JAM	FS1	RK	SO	0	195	13	10	30				
kw_2541	p.03	E	1	BVC	JAM	M	RK	M									
kw_2542	p.03	E	2	DDW	JAM	X	RK	X									
kw_2543	p.03	E	3	SAD	JAM	R	RK	R									
kw_2544	p.03	E	4	SIL	JAM	R	RK	R									
kw_2545	p.03	E	5	HMC	JAM	X	RK	X									
kw_2546	p.03	E	6	LTM	JAM	X	RK	X									
kw_2547	p.03	E	7	WHC	JAM	X	RK	X									
kw_2548	p.03	E	8	BSC	JAM	FO	RK	B	0	102	10	8	30			FLOWERS DRIED UP	
kw_2549	p.03	E	9	MIL	JAM	X	RK	X									
kw_2550	p.03	E	10	BVC	JAM	R	RK	R									
kw_2551	p.04	A	1	DDW	JAM	X	RK	X									
kw_2552	p.04	A	2	WHC	JAM	X	RK	X									
kw_2553	p.04	A	3	ECM	JAM	X	RK	X									
kw_2554	p.04	A	4	EGM	JAM	R	RK	R									
kw_2555	p.04	A	5	JAM	JAM	X	RK	X									
kw_2556	p.04	A	6	BNK	JAM	X	RK	X									
kw_2557	p.04	A	7	ECM	JAM	X	RK	X									
kw_2558	p.04	A	8	SAD	JAM	X	RK	X									
kw_2559	p.04	A	9	IRF	JAM	X	RK	X									
kw_2560	p.04	A	10	MFP	JAM	X	RK	X									
kw_2561	p.04	B	1	BVC	JAM	FS1	RK	FS	0	176	14	7	10	0			
kw_2562	p.04	B	2	PCS	JAM	X	RK	X									
kw_2563	p.04	B	3	HMC	JAM	R	RK	R									
kw_2564	p.04	B	4	BVM	JAM	X	RK	X									
kw_2565	p.04	B	5	BVM	JAM	R	RK	R									
kw_2566	p.04	B	6	SIL	JAM	R	RK	R									
kw_2567	p.04	B	7	BNK	JAM	R	RK	R									
kw_2568	p.04	B	8	DDW	JAM	X	RK	X									
kw_2569	p.04	B	9	BHS	JAM	X	RK	X									
kw_2570	p.04	B	10	WHC	JAM	X	RK	X									
kw_2571	p.04	C	1	VNH	JAM	X	RK	X									
kw_2572	p.04	C	2	EGM	JAM	X	RK	X									
kw_2573	p.04	C	3	MIL	JAM	B	RK	FO	1	66	8	2	30				
kw_2574	p.04	C	4	MIL	JAM	B	RK	B	1	46	3	2	10				
kw_2575	p.04	C	5	THT	JAM	X	RK	X									
kw_2576	p.04	C	6	PCS	JAM	SO	RK	SO	0	405	15	11	50				
kw_2577	p.04	C	7	BVC	JAM	X	RK	X									
kw_2578	p.04	C	8	MAH	JAM	X	RK	X									
kw_2579	p.04	C	9	IRF	JAM	R	RK	R									
kw_2580	p.04	C	10	MFP	JAM	X	RK	M									
kw_2581	p.04	D	1	MAH	JAM	X	RK	X									
kw_2582	p.04	D	2	BHS	JAM	X	RK	X									
kw_2583	p.04	D	3	RUB	JAM	R	RK	R									
kw_2584	p.04	D	4	BSC	JAM	X	RK	X									
kw_2585	p.04	D	5	FLF	JAM	FO	RK	B	1	119	50	19	20				
kw_2586	p.04	D	6	THT	JAM	X	RK	X									
kw_2587	p.04	D	7	PAR	JAM	X	RK	X									
kw_2588	p.04	D	8	VNH	JAM	B	RK	B	1	84	12	7	15				
kw_2589	p.04	D	9	RUB	JAM	X	RK	X									
kw_2590	p.04	D	10	JAM	JAM	X	RK	X									
kw_2591	p.04	E	1	BHM	JAM	X	RK	X									
kw_2592	p.04	E	2	SAD	JAM	X	RK	X									
kw_2593	p.04	E	3	LTM	JAM	FO	RK	B	0	143	15	5	20			FLOWERS DRIED UP	
kw_2594	p.04	E	4	HMC	JAM	R	RK	R									
