Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	RosHPLC	CauHPLC	FrHPLC	NOTES
kw_1444	j.13	E	4	THT	MAH	MW	R	40		44											6362			
kw_1302	j.11	A	2	SIL	MAH	MW	R	30	0	52											6595			
kw_1323	j.11	C	3	SAD	MAH	MW	R	32	0	80											6596			
kw_1306	j.11	A	6	THT	MAH	MW	R	40	0	36											6604			
kw_1313	j.11	B	3	PCS	MAH	MW	R	40	0	56											6605			
kw_1311	j.11	B	1	SAD	MAH	MW	R	60	0	41											6621			
kw_1339	j.11	D	9	THT	MAH	MW	R	10	0	36											6650			
kw_1331	j.11	D	1	VNH	MAH	MW	R	70	0	31											6651			
kw_1321	j.11	C	1	WHC	MAH	MW	R	60	0	57											6652			
kw_1320	j.11	B	10	BHM	MAH	MW	R	50	0	22											6653			
kw_1337	j.11	D	7	BHS	MAH	MW	R	50	0	41											6654			
kw_1312	j.11	B	2	BNK	MAH	MW	R	60	0	59											6655			DRYING OUT
kw_1345	j.11	E	5	BSC	MAH	MW	R	40	0	30											6656			
kw_1341	j.11	E	1	BVC	MAH	MW	R	40	0	33											6657			
kw_1310	j.11	A	10	DDW	MAH	MW	R	50	0	53											6658			
kw_1340	j.11	D	10	ECM	MAH	MW	B	20	0	36											6659			
kw_1314	j.11	B	4	EGM	MAH	MW	R	40	0	70											6660			
kw_1347	j.11	E	7	FLF	MAH	MW	R	70	0	34											6661			
kw_1315	j.11	B	5	IRF	MAH	MW	R	70	0	40											6662			
kw_1318	j.11	B	8	JAM	MAH	MW	R	20	0	33											6663			
kw_1316	j.11	B	6	LTM	MAH	MW	R	70	0	45											6664			
kw_1327	j.11	C	7	MAH	MAH	MW	R	40	0	40											6665			DRYING OUT
kw_1319	j.11	B	9	MIL	MAH	MW	R	60	0	43											6666			
kw_1386	j.12	D	6	BHS	MAH	MW	R	70	0	40											6667			
kw_1383	j.12	D	3	BNK	MAH	MW	R	70	0	36											6668			
kw_1352	j.12	A	2	BSC	MAH	MW	R	50	0	33											6669			DRYING OUT
kw_1363	j.12	B	3	DDW	MAH	MW	R	40	0	54											6670			
kw_1367	j.12	B	7	ECM	MAH	MW	R	70	0	44											6671			
kw_1395	j.12	E	5	EGM	MAH	MW	R	20	0	45											6672			
kw_1374	j.12	C	4	IRF	MAH	MW	R	60	0	37											6673			
kw_1385	j.12	D	5	JAM	MAH	MW	R	50	0	35											6674			
kw_1397	j.12	E	7	MIL	MAH	MW	R	10	0	29											6675			
kw_1388	j.12	D	8	PCS	MAH	MW	R	40	0	38											6676			
kw_1380	j.12	C	10	SIL	MAH	MW	R	80	0	58											6677			
kw_1356	j.12	A	6	THT	MAH	MW	R	70	0	32											6678			
kw_1605	m.01	A	5	BHM	MAH	JL	R	30		52											6680			
kw_1601	m.01	A	1	BHS	MAH	JL	R	90		20											6681			DRYING OUT
kw_1626	m.01	C	6	BNK	MAH	JL	R	30		62											6682			
kw_1618	m.01	B	8	BSC	MAH	JL	R	60		57											6683			
kw_1629	m.01	C	9	BVC	MAH	JL	R	70		58											6684			
kw_1650	m.01	E	10	BVM	MAH	JL	R	60		43											6685			
kw_1611	m.01	B	1	DDW	MAH	JL	R	70		47											7138			
kw_1634	m.01	D	4	ECM	MAH	JL	B	50		73											7139			
kw_1644	m.01	E	4	EGM	MAH	JL	R	40		57											7140			
kw_1617	m.01	B	7	FLF	MAH	JL	B	50		69											7141			
kw_1632	m.01	D	2	HMC	MAH	JL	R	30		41											7142			
kw_1613	m.01	B	3	IRF	MAH	JL	R	90		46											7143			
kw_1622	m.01	C	2	JAM	MAH	JL	B	50		80											7144			
kw_1628	m.01	C	8	LTM	MAH	JL	R	50		26											7145			
kw_1615	m.01	B	5	MAH	MAH	JL	B	80		73											7146			
kw_1625	m.01	C	5	PAR	MAH	JL	R	40		33											7147			
kw_1640	m.01	D	10	PCS	MAH	JL	R	80		36											7148			
kw_1639	m.01	D	9	RUB	MAH	JL	R	80		53											7149			
kw_1614	m.01	B	4	SAD	MAH	JL	R	80		34											7150			
kw_1603	m.01	A	3	SIL	MAH	JL	R	100		41											7151			
kw_1604	m.01	A	4	THT	MAH	JL	R	70		43											7152			
kw_1608	m.01	A	8	VNH	MAH	JL	R	20		39											7153			
kw_1694	m.02	E	4	HMC	MAH	JL	R	70		58											7154			
kw_1678	m.02	C	8	IRF	MAH	JL	R	30		56											7155			
kw_1687	m.02	D	7	JAM	MAH	JL	B	40		65											7156			
kw_1657	m.02	A	7	LTM	MAH	JL	R	60		44											7157			
kw_1667	m.02	B	7	MAH	MAH	JL	B	70		46											7158			TAG MISSING
kw_1670	m.02	B	10	SIL	MAH	JL	R	90		18											7159			
kw_1665	m.02	B	5	THT	MAH	JL	R	60		52											7160			
kw_1725	m.03	C	5	BHM	MAH	MW	R	40		55											7161			
kw_1739	m.03	D	9	BHS	MAH	MW	R	60		46											7162			DRYING OUT
kw_1701	m.03	A	1	BNK	MAH	MW	R	60		35											7163			
kw_1704	m.03	A	4	BSC	MAH	MW	R	30		51											7164			
kw_1750	m.03	E	10	BVC	MAH	MW	R	40		32											7165			
kw_1711	m.03	B	1	BVM	MAH	MW	R	100		44											7166			
kw_1708	m.03	A	8	DDW	MAH	MW	R	70		43											7167			
kw_1717	m.03	B	7	ECM	MAH	MW	R	70		33											7168			
kw_1707	m.03	A	7	EGM	MAH	MW	B	70		36											7169			
kw_1720	m.03	B	10	FLF	MAH	MW	B	20		42											7170			
kw_1734	m.03	D	4	HMC	MAH	MW	R	30		44											7171			
kw_1718	m.03	B	8	IRF	MAH	MW	R	80		43											7172			
kw_1736	m.03	D	6	JAM	MAH	MW	R	50		54											7173			
kw_1712	m.03	B	2	LTM	MAH	MW	R	80		46											7174			
kw_1737	m.03	D	7	MAH	MAH	MW	R	50		37											7175			DRYING OUT
kw_1726	m.03	C	6	MIL	MAH	MW	R	40		45											7176			
kw_1705	m.03	A	5	PAR	MAH	MW	R	30		43											7177			
kw_1713	m.03	B	3	PCS	MAH	MW	R	40		37											7178			
kw_1721	m.03	C	1	RUB	MAH	MW	R	60		42											7179			
kw_1723	m.03	C	3	SAD	MAH	MW	R	70		34											7180			
kw_1740	m.03	D	10	SIL	MAH	MW	R	60		40											7181			
kw_1715	m.03	B	5	THT	MAH	MW	R	10		43											7182			
kw_1747	m.03	E	7	WHC	MAH	MW	R	60		45											7183			
kw_1791	m.04	E	1	BHM	MAH	MW	R	60		32											7184			
kw_1769	m.04	B	9	BHS	MAH	MW	R	60		24											7185			
kw_1756	m.04	A	6	BNK	MAH	MW	R	70		37											7186			
kw_1784	m.04	D	4	BSC	MAH	MW	R	60		35											7187			
kw_1777	m.04	C	7	BVC	MAH	MW	R	50		42											7188			
kw_1765	m.04	B	5	BVM	MAH	MW	R	90		41											7189			
kw_1751	m.04	A	1	DDW	MAH	MW	R	70		49											7190			
kw_1753	m.04	A	3	ECM	MAH	MW	B	60		53											7191			
kw_1772	m.04	C	2	EGM	MAH	MW	B	40		55											7192			
kw_1785	m.04	D	5	FLF	MAH	MW	R	30		52											7193			
kw_1779	m.04	C	9	IRF	MAH	MW	R	50		42											7194			
kw_1755	m.04	A	5	JAM	MAH	MW	R	90		27											7195			
kw_1800	m.04	E	10	LTM	MAH	MW	R	70		46											7196			
kw_1778	m.04	C	8	MAH	MAH	MW	B	60		68											7197			
kw_1773	m.04	C	3	MIL	MAH	MW	B	50		50											7198			
kw_1783	m.04	D	3	RUB	MAH	MW	R	60		44											7199			
kw_1758	m.04	A	8	SAD	MAH	MW	R	90		31											7200			
kw_1766	m.04	B	6	SIL	MAH	MW	R	70		38											7201			
kw_1775	m.04	C	5	THT	MAH	MW	R	60		35											7202			
kw_1788	m.04	D	8	VNH	MAH	MW	R	70		56											7203			
kw_1752	m.04	A	2	WHC	MAH	MW	R	80		47											7204			DRYING OUT
kw_2030	m.09	C	10	BHM	MAH	JL	R	70		51											7205			
kw_2011	m.09	B	1	BHS	MAH	JL	R	60		53											7206			
kw_2031	m.09	D	1	BNK	MAH	JL	R	80		80											7207			
kw_2010	m.09	A	10	BVC	MAH	JL	R	70		38											7208			
kw_2048	m.09	E	8	BVM	MAH	JL	R	10		55											7209			
kw_2007	m.09	A	7	DDW	MAH	JL	R	50		64											7210			
kw_2045	m.09	E	5	ECM	MAH	JL	R	10		61											7211			
kw_2020	m.09	B	10	EGM	MAH	JL	R	40		38											7212			
kw_2040	m.09	D	10	FLF	MAH	JL	B	50		43											7213			
kw_2024	m.09	C	4	HMC	MAH	JL	R	50		47											7214			
kw_2044	m.09	E	4	IRF	MAH	JL	R	20		45											7215			
kw_2017	m.09	B	7	JAM	MAH	JL	B	30		45											7216			
kw_2015	m.09	B	5	LTM	MAH	JL	R	30		41											7217			
kw_2025	m.09	C	5	MIL	MAH	JL	B	70		60											7218			
kw_2013	m.09	B	3	PCS	MAH	JL	R	60		38											7219			
kw_2021	m.09	C	1	RUB	MAH	JL	R	50		42											7220			
kw_2004	m.09	A	4	SAD	MAH	JL	R	50		36											7221			
kw_2356	m.16	A	6	IRF	MAH	RK	R	10	0	39											7221			
kw_2005	m.09	A	5	SIL	MAH	JL	R	70		28											7222			
kw_2012	m.09	B	2	THT	MAH	JL	R	40		43											7223			
kw_2002	m.09	A	2	VNH	MAH	JL	R	70		46											7224			
kw_2055	m.10	A	5	BVC	MAH	JL	R	40		60											7225			
kw_2069	m.10	B	9	DDW	MAH	JL	R	40		52											7226			
kw_2092	m.10	E	2	ECM	MAH	JL	R	40		103											7227			
kw_2077	m.10	C	7	EGM	MAH	JL	B	70		82											7228			
kw_2054	m.10	A	4	FLF	MAH	JL	R	50		47											7229			
kw_2087	m.10	D	7	HMC	MAH	JL	R	60		57											7230			
kw_2072	m.10	C	2	IRF	MAH	JL	R	40		52											7231			
kw_2056	m.10	A	6	JAM	MAH	JL	R	60		70											7232			
kw_2062	m.10	B	2	LTM	MAH	JL	R	40		42											7233			
kw_2051	m.10	A	1	MAH	MAH	JL	R	40		41											7234			
kw_2084	m.10	D	4	MFP	MAH	JL	R	60		38											7235			DRYING OUT
kw_2065	m.10	B	5	MIL	MAH	JL	R	40		54											7236			
kw_2058	m.10	A	8	PCS	MAH	JL	R	50		50											7237			
kw_2052	m.10	A	2	RUB	MAH	JL	R	50		70											7238			
kw_2075	m.10	C	5	SAD	MAH	JL	R	50		52											7239			
kw_2074	m.10	C	4	SIL	MAH	JL	R	50		80											7240			
kw_2053	m.10	A	3	THT	MAH	JL	R	50		38											7241			
kw_2089	m.10	D	9	VNH	MAH	JL	R	40		79											7242			
kw_2091	m.10	E	1	WHC	MAH	JL	R	50		28											7243			
kw_2120	m.11	B	10	BHM	MAH	MW	R	60		59											7244			
kw_2137	m.11	D	7	BHS	MAH	MW	R	50		34											7245			DRYING OUT
kw_2112	m.11	B	2	BNK	MAH	MW	R	30		48											7246			
kw_2145	m.11	E	5	BSC	MAH	MW	R	70		36											7247			
kw_2141	m.11	E	1	BVC	MAH	MW	R	70		55											7248			
kw_2110	m.11	A	10	DDW	MAH	MW	R	50		54											7249			
kw_2140	m.11	D	10	ECM	MAH	MW	R	50		50											7250			
