Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	
kw_0601	a.13	A	1	BVM	SIL																
kw_0602	a.13	A	2	PAR	SIL																
kw_0603	a.13	A	3	BSC	SIL																
kw_0604	a.13	A	4	MFP	SIL																
kw_0605	a.13	A	5	WHC	SIL																
kw_0606	a.13	A	6	FLF	SIL																
kw_0607	a.13	A	7	EGM	SIL																
kw_0608	a.13	A	8	VNH	SIL																
kw_0609	a.13	A	9	MIL	SIL																
kw_0610	a.13	A	10	BVM	SIL																
kw_0611	a.13	B	1	WHC	SIL																
kw_0612	a.13	B	2	DDW	SIL																
kw_0613	a.13	B	3	SAD	SIL																
kw_0614	a.13	B	4	MIL	SIL																
kw_0615	a.13	B	5	IRF	SIL																
kw_0616	a.13	B	6	BHM	SIL																
kw_0617	a.13	B	7	SIL	SIL																
kw_0618	a.13	B	8	ECM	SIL																
kw_0619	a.13	B	9	SAD	SIL																
kw_0620	a.13	B	10	MFP	SIL																
kw_0621	a.13	C	1	LTM	SIL																
kw_0622	a.13	C	2	LTM	SIL																
kw_0623	a.13	C	3	ECM	SIL																
kw_0624	a.13	C	4	JAM	SIL																
kw_0625	a.13	C	5	BHS	SIL																
kw_0626	a.13	C	6	BHS	SIL																
kw_0627	a.13	C	7	IRF	SIL																
kw_0628	a.13	C	8	PCS	SIL																
kw_0629	a.13	C	9	BHM	SIL																
kw_0630	a.13	C	10	BSC	SIL																
kw_0631	a.13	D	1	BNK	SIL																
kw_0632	a.13	D	2	MAH	SIL																
kw_0633	a.13	D	3	BNK	SIL																
kw_0634	a.13	D	4	THT	SIL																
kw_0635	a.13	D	5	RUB	SIL																
kw_0636	a.13	D	6	BVC	SIL																
kw_0637	a.13	D	7	PCS	SIL																
kw_0638	a.13	D	8	DDW	SIL																
kw_0639	a.13	D	9	JAM	SIL																
kw_0640	a.13	D	10	SIL	SIL																
kw_0641	a.13	E	1	VNH	SIL																
kw_0642	a.13	E	2	PAR	SIL																
kw_0643	a.13	E	3	FLF	SIL																
kw_0644	a.13	E	4	THT	SIL																
kw_0645	a.13	E	5	MAH	SIL																
kw_0646	a.13	E	6	RUB	SIL																
kw_0647	a.13	E	7	HMC	SIL																
kw_0648	a.13	E	8	BVC	SIL																
kw_0649	a.13	E	9	EGM	SIL																
kw_0650	a.13	E	10	HMC	SIL																
kw_0651	a.14	A	1	VNH	SIL																
kw_0652	a.14	A	2	RUB	SIL																
kw_0653	a.14	A	3	SAD	SIL																
kw_0654	a.14	A	4	THT	SIL																
kw_0655	a.14	A	5	LTM	SIL																
kw_0656	a.14	A	6	DDW	SIL																
kw_0657	a.14	A	7	MIL	SIL																
kw_0658	a.14	A	8	BSC	SIL																
kw_0659	a.14	A	9	BNK	SIL																
kw_0660	a.14	A	10	PCS	SIL																
kw_0661	a.14	B	1	BVM	SIL																
kw_0662	a.14	B	2	JAM	SIL																
kw_0663	a.14	B	3	LTM	SIL																
kw_0664	a.14	B	4	SIL	SIL																
kw_0665	a.14	B	5	BVM	SIL																
kw_0666	a.14	B	6	WHC	SIL																
kw_0667	a.14	B	7	PCS	SIL																
kw_0668	a.14	B	8	BVC	SIL																
kw_0669	a.14	B	9	FLF	SIL																
kw_0670	a.14	B	10	BNK	SIL																
kw_0671	a.14	C	1	BSC	SIL																
kw_0672	a.14	C	2	JAM	SIL																
kw_0673	a.14	C	3	DDW	SIL																
kw_0674	a.14	C	4	ECM	SIL																
kw_0675	a.14	C	5	HMC	SIL																
kw_0676	a.14	C	6	BVC	SIL																
kw_0677	a.14	C	7	IRF	SIL																
kw_0678	a.14	C	8	MAH	SIL																
kw_0679	a.14	C	9	BHM	SIL																
kw_0680	a.14	C	10	WHC	SIL																
kw_0681	a.14	D	1	BHM	SIL																
kw_0682	a.14	D	2	ECM	SIL																
kw_0683	a.14	D	3	VNH	SIL																
kw_0684	a.14	D	4	BHS	SIL																
kw_0685	a.14	D	5	PAR	SIL																
kw_0686	a.14	D	6	IRF	SIL																
kw_0687	a.14	D	7	FLF	SIL																
kw_0688	a.14	D	8	MFP	SIL																
kw_0689	a.14	D	9	RUB	SIL																
kw_0690	a.14	D	10	THT	SIL																
kw_0691	a.14	E	1	BHS	SIL																
kw_0692	a.14	E	2	HMC	SIL																
kw_0693	a.14	E	3	EGM	SIL																
kw_0694	a.14	E	4	SAD	SIL																
kw_0695	a.14	E	5	PAR	SIL																
kw_0696	a.14	E	6	MIL	SIL																
kw_0697	a.14	E	7	MAH	SIL																
kw_0698	a.14	E	8	SIL	SIL																
kw_0699	a.14	E	9	EGM	SIL																
kw_0700	a.14	E	10	MFP	SIL																
kw_0701	a.15	A	1	WHC	SIL																
kw_0702	a.15	A	2	BHS	SIL																
kw_0703	a.15	A	3	BVC	SIL																
kw_0704	a.15	A	4	JAM	SIL																
kw_0705	a.15	A	5	THT	SIL																
kw_0706	a.15	A	6	VNH	SIL																
kw_0707	a.15	A	7	WHC	SIL																
kw_0708	a.15	A	8	EGM	SIL																
kw_0709	a.15	A	9	BHS	SIL																
kw_0710	a.15	A	10	MFP	SIL																
kw_0711	a.15	B	1	DDW	SIL																
kw_0712	a.15	B	2	RUB	SIL																
kw_0713	a.15	B	3	BSC	SIL																
kw_0714	a.15	B	4	BVM	SIL																
kw_0715	a.15	B	5	FLF	SIL																
kw_0716	a.15	B	6	BHM	SIL																
kw_0717	a.15	B	7	LTM	SIL																
kw_0718	a.15	B	8	FLF	SIL																
kw_0719	a.15	B	9	THT	SIL																
kw_0720	a.15	B	10	HMC	SIL																
kw_0721	a.15	C	1	HMC	SIL																
kw_0722	a.15	C	2	MFP	SIL																
kw_0723	a.15	C	3	RUB	SIL																
kw_0724	a.15	C	4	VNH	SIL																
kw_0725	a.15	C	5	BNK	SIL																
kw_0726	a.15	C	6	DDW	SIL																
kw_0727	a.15	C	7	PAR	SIL																
kw_0728	a.15	C	8	SIL	SIL																
kw_0729	a.15	C	9	BVC	SIL																
kw_0730	a.15	C	10	BSC	SIL																
kw_0731	a.15	D	1	JAM	SIL																
kw_0732	a.15	D	2	SAD	SIL																
kw_0733	a.15	D	3	MIL	SIL																
kw_0734	a.15	D	4	MAH	SIL																
kw_0735	a.15	D	5	ECM	SIL																
kw_0736	a.15	D	6	IRF	SIL																
kw_0737	a.15	D	7	ECM	SIL																
kw_0738	a.15	D	8	BNK	SIL																
kw_0739	a.15	D	9	BHM	SIL																
kw_0740	a.15	D	10	LTM	SIL																
kw_0741	a.15	E	1	PAR	SIL																
kw_0742	a.15	E	2	EGM	SIL																
kw_0743	a.15	E	3	MIL	SIL																
kw_0744	a.15	E	4	SAD	SIL																
kw_0745	a.15	E	5	PCS	SIL																
kw_0746	a.15	E	6	BVM	SIL																
kw_0747	a.15	E	7	PCS	SIL																
kw_0748	a.15	E	8	MAH	SIL																
kw_0749	a.15	E	9	IRF	SIL																
kw_0750	a.15	E	10	SIL	SIL																
kw_0751	a.16	A	1	PCS	SIL																
kw_0752	a.16	A	2	BHS	SIL																
kw_0753	a.16	A	3	VNH	SIL																
kw_0754	a.16	A	4	LTM	SIL																
kw_0755	a.16	A	5	PCS	SIL																
kw_0756	a.16	A	6	IRF	SIL																
kw_0757	a.16	A	7	MFP	SIL																
kw_0758	a.16	A	8	DDW	SIL																
kw_0759	a.16	A	9	JAM	SIL																
kw_0760	a.16	A	10	DDW	SIL																
kw_0761	a.16	B	1	MIL	SIL																
kw_0762	a.16	B	2	PAR	SIL																
kw_0763	a.16	B	3	BVC	SIL																
kw_0764	a.16	B	4	WHC	SIL																
kw_0765	a.16	B	5	BVM	SIL																
kw_0766	a.16	B	6	PAR	SIL																
kw_0767	a.16	B	7	VNH	SIL																
kw_0768	a.16	B	8	SIL	SIL																
kw_0769	a.16	B	9	FLF	SIL																
kw_0770	a.16	B	10	BNK	SIL																
kw_0771	a.16	C	1	MAH	SIL																
kw_0772	a.16	C	2	BVM	SIL																
kw_0773	a.16	C	3	EGM	SIL																
kw_0774	a.16	C	4	JAM	SIL																
kw_0775	a.16	C	5	HMC	SIL																
kw_0776	a.16	C	6	BVC	SIL																
kw_0777	a.16	C	7	ECM	SIL																
kw_0778	a.16	C	8	SIL	SIL																
kw_0779	a.16	C	9	WHC	SIL																
kw_0780	a.16	C	10	LTM	SIL																
kw_0781	a.16	D	1	ECM	SIL																
kw_0782	a.16	D	2	BHM	SIL																
kw_0783	a.16	D	3	MFP	SIL																
kw_0784	a.16	D	4	SAD	SIL																
kw_0785	a.16	D	5	HMC	SIL																
kw_0786	a.16	D	6	RUB	SIL																
kw_0787	a.16	D	7	SAD	SIL																
kw_0788	a.16	D	8	THT	SIL																
kw_0789	a.16	D	9	BHS	SIL																
kw_0790	a.16	D	10	BNK	SIL																
kw_0791	a.16	E	1	RUB	SIL																
kw_0792	a.16	E	2	EGM	SIL																
kw_0793	a.16	E	3	THT	SIL																
kw_0794	a.16	E	4	FLF	SIL																
kw_0795	a.16	E	5	MAH	SIL																
kw_0796	a.16	E	6	BHM	SIL																
kw_0797	a.16	E	7	MIL	SIL																
kw_0798	a.16	E	8	BSC	SIL																
kw_0799	a.16	E	9	BSC	SIL																
kw_0800	a.16	E	10	IRF	SIL																
kw_3201	s.01	A	1	BHS	SIL																
kw_3202	s.01	A	2	MIL	SIL																
kw_3203	s.01	A	3	SIL	SIL																
kw_3204	s.01	A	4	THT	SIL																
kw_3205	s.01	A	5	BHM	SIL																
kw_3206	s.01	A	6	THT	SIL																
kw_3207	s.01	A	7	PAR	SIL																
kw_3208	s.01	A	8	VNH	SIL																
kw_3209	s.01	A	9	RUB	SIL																
kw_3210	s.01	A	10	MFP	SIL																
kw_3211	s.01	B	1	DDW	SIL																
kw_3212	s.01	B	2	SIL	SIL																
kw_3213	s.01	B	3	IRF	SIL																
kw_3214	s.01	B	4	SAD	SIL																
kw_3215	s.01	B	5	MAH	SIL																
kw_3216	s.01	B	6	DDW	SIL																
kw_3217	s.01	B	7	FLF	SIL																
kw_3218	s.01	B	8	BSC	SIL																
kw_3219	s.01	B	9	SAD	SIL																
kw_3220	s.01	B	10	WHC	SIL																
