Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	RosHPLC		
kw_0601	a.13	A	1	BVM	SIL	CR	X	70															
kw_0602	a.13	A	2	PAR	SIL	CR	X	60															
kw_0603	a.13	A	3	BSC	SIL	CR	FS2	50	0	242									14		7018		
kw_0604	a.13	A	4	MFP	SIL	CR	X	20															
kw_0605	a.13	A	5	WHC	SIL	CR	X	40															
kw_0606	a.13	A	6	FLF	SIL	CR	R	20	0	33											7021		
kw_0607	a.13	A	7	EGM	SIL	CR	FS2	30	0	394									31				
kw_0608	a.13	A	8	VNH	SIL	CR	X	20															
kw_0609	a.13	A	9	MIL	SIL	CR	B	40	1	294													
kw_0610	a.13	A	10	BVM	SIL	CR	X	40															
kw_0611	a.13	B	1	WHC	SIL	CR	X	70															
kw_0612	a.13	B	2	DDW	SIL	CR	FS2	70	0	394									18		7019		
kw_0613	a.13	B	3	SAD	SIL	CR	FO	40	0	344											7027		
kw_0614	a.13	B	4	MIL	SIL	CR	SO	40	0	471									58		7026		
kw_0615	a.13	B	5	IRF	SIL	CR	FS2	40	0	328									27		7022		
kw_0616	a.13	B	6	BHM	SIL	CR	R	50	0	46											7016		
kw_0617	a.13	B	7	SIL	SIL	CR	FO	30	0	331											7028		
kw_0618	a.13	B	8	ECM	SIL	CR	SO	30	0	475									50				
kw_0619	a.13	B	9	SAD	SIL	CR	R	70	0	18													
kw_0620	a.13	B	10	MFP	SIL	CR	X	60															
kw_0621	a.13	C	1	LTM	SIL	CR	SO	70	0	363									37		7024		
kw_0622	a.13	C	2	LTM	SIL	CR	B	90	0	83													
kw_0623	a.13	C	3	ECM	SIL	CR	FS2	60	0	321									18		7020		
kw_0624	a.13	C	4	JAM	SIL	CR	SO	70	0	301									66		7023		
kw_0625	a.13	C	5	BHS	SIL	CR	R	60	0	28											7017		
kw_0626	a.13	C	6	BHS	SIL	CR	R	50	0	23													
kw_0627	a.13	C	7	IRF	SIL	CR	SO	50	0	163									11				
kw_0628	a.13	C	8	PCS	SIL	CR	R	80	0	13													
kw_0629	a.13	C	9	BHM	SIL	CR	X	80															
kw_0630	a.13	C	10	BSC	SIL	CR	R	90	0	32													
kw_0631	a.13	D	1	BNK	SIL	CR	X	100															
kw_0632	a.13	D	2	MAH	SIL	CR	R	90	0	23											7025		
kw_0633	a.13	D	3	BNK	SIL	CR	X	100															
kw_0634	a.13	D	4	THT	SIL	CR	FO	100	0	196											7029		
kw_0635	a.13	D	5	RUB	SIL	CR	X	90															
kw_0636	a.13	D	6	BVC	SIL	CR	X	80															
kw_0637	a.13	D	7	PCS	SIL	CR	R	80	0	14													
