Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NOTES
kw_0601	a.13	A	1	BVM	SIL	RK	X											
kw_0602	a.13	A	2	PAR	SIL	RK	X											
kw_0603	a.13	A	3	BSC	SIL	RK	SO		0	289		0			3	0	0	
kw_0604	a.13	A	4	MFP	SIL	RK	M											
kw_0605	a.13	A	5	WHC	SIL	RK	X											
kw_0606	a.13	A	6	FLF	SIL	RK	R		0	36		12	0	0				
kw_0607	a.13	A	7	EGM	SIL	RK	SO		0	435		0			0			
kw_0608	a.13	A	8	VNH	SIL	RK	X											
kw_0609	a.13	A	9	MIL	SIL	RK	SO		0	450		0			5	2	10	
kw_0610	a.13	A	10	BVM	SIL	RK	X											
kw_0611	a.13	B	1	WHC	SIL	RK	X											
kw_0612	a.13	B	2	DDW	SIL	RK	SO		1	390		0			0			
kw_0613	a.13	B	3	SAD	SIL	RK	SO		0	446		0			4	2	10	
kw_0614	a.13	B	4	MIL	SIL	RK	SO		0	425		0			0			
kw_0615	a.13	B	5	IRF	SIL	RK	SO		0	371		0			0			DEHISCING
kw_0616	a.13	B	6	BHM	SIL	RK	R		0	50		7	0	0				
kw_0617	a.13	B	7	SIL	SIL	RK	SO		0	410		0			0			
kw_0618	a.13	B	8	ECM	SIL	RK	SO		0	496		0			0			
kw_0619	a.13	B	9	SAD	SIL	RK	R		0	19		7	0	0				
kw_0620	a.13	B	10	MFP	SIL	RK	M											
kw_0621	a.13	C	1	LTM	SIL	RK	SO		0	375		0			4	2	10	
kw_0622	a.13	C	2	LTM	SIL	RK	B		1	251		6	0	0	12	11	30	
kw_0623	a.13	C	3	ECM	SIL	RK	SO		1	388		0			5	0	0	
kw_0624	a.13	C	4	JAM	SIL	RK	SO		0	283		3	0	0	7	0	0	
kw_0625	a.13	C	5	BHS	SIL	RK	R		0	26		10	0	0				
kw_0626	a.13	C	6	BHS	SIL	RK	R		0	27		10	0	0				
kw_0627	a.13	C	7	IRF	SIL	RK	SO		1	200		5	3	10	11	4	15	
kw_0628	a.13	C	8	PCS	SIL	RK	R		0	12		9	0	0				
kw_0629	a.13	C	9	BHM	SIL	RK	X											
kw_0630	a.13	C	10	BSC	SIL	RK	R		0	32		30	2	5				
kw_0631	a.13	D	1	BNK	SIL	RK	X											
kw_0632	a.13	D	2	MAH	SIL	RK	X											
kw_0633	a.13	D	3	BNK	SIL	RK	X											
kw_0634	a.13	D	4	THT	SIL	RK	SO		0	275		9	0	0	2	0	0	
kw_0635	a.13	D	5	RUB	SIL	RK	X											
kw_0636	a.13	D	6	BVC	SIL	RK	R		0	15		7	1	10				
kw_0637	a.13	D	7	PCS	SIL	RK	R		0	12		9	0	0				
kw_0638	a.13	D	8	DDW	SIL	RK	SO		0	400		0			0			
kw_0639	a.13	D	9	JAM	SIL	RK	SO		0	386		1	1	20	5	1	10	
kw_0640	a.13	D	10	SIL	SIL	RK	SO		0	365		0			0			
kw_0641	a.13	E	1	VNH	SIL	RK	R		0	30		8	0	0				
kw_0642	a.13	E	2	PAR	SIL	RK	R		0	7		6	0	0				
kw_0643	a.13	E	3	FLF	SIL	RK	R		0	26		15	0	0				
kw_0644	a.13	E	4	THT	SIL	RK	SO		0	404		0			0			
kw_0645	a.13	E	5	MAH	SIL	RK	X											
kw_0646	a.13	E	6	RUB	SIL	RK	R		0	10		7	0	0				
kw_0647	a.13	E	7	HMC	SIL	RK	X											
kw_0648	a.13	E	8	BVC	SIL	RK	X											
kw_0649	a.13	E	9	EGM	SIL	RK	SO		0	672		0			0			
kw_0650	a.13	E	10	HMC	SIL	RK	X											
kw_0651	a.14	A	1	VNH	SIL	MW	R		0	36		6	1	20				
kw_0652	a.14	A	2	RUB	SIL	MW	X											
kw_0653	a.14	A	3	SAD	SIL	MW	R		0	40		13	0	0				
kw_0654	a.14	A	4	THT	SIL	MW	SO		0	391		0	0	0	0	0	0	
kw_0655	a.14	A	5	LTM	SIL	MW	SO		0	444		0	0	0	6	2	25	
kw_0656	a.14	A	6	DDW	SIL	MW	SO		0	438		0	0	0	3	0	0	
kw_0657	a.14	A	7	MIL	SIL	MW	R		0	30		8	0	0				
kw_0658	a.14	A	8	BSC	SIL	MW	SO		0	340		0	0	0	5	5	5	
kw_0659	a.14	A	9	BNK	SIL	MW	X											
kw_0660	a.14	A	10	PCS	SIL	MW	X											
kw_0661	a.14	B	1	BVM	SIL	MW	X											
kw_0662	a.14	B	2	JAM	SIL	MW	SO		0	415		0	0	0	3	0	0	
kw_0663	a.14	B	3	LTM	SIL	MW	SO		0	394		0	0	0	12	2	15	
kw_0664	a.14	B	4	SIL	SIL	MW	SO		0	365		0	0	0	3	0	0	
kw_0665	a.14	B	5	BVM	SIL	MW	X											
