Plant_ID	Block	Row	Col	Genotype	Site	Obs	Stg	Veg	TCO	H	W	rosLN	rosDLN	rosAD	cauLN	cauDLN	cauAD	NFr	LS	AvFr	RosHPLC	CauHPLC	FrHPLC	FRStg	NOTES			
kw_0601	a.13	A	1	BVM	SIL	JL	X																		green	brown	ripe	dehisced
kw_0602	a.13	A	2	PAR	SIL	JL	X																					
kw_0603	a.13	A	3	BSC	SIL	JL	SO		0										46					DEHISCED				
kw_0604	a.13	A	4	MFP	SIL	JL	M																					
kw_0605	a.13	A	5	WHC	SIL	JL	X																					
kw_0606	a.13	A	6	FLF	SIL	JL	X																					
kw_0607	a.13	A	7	EGM	SIL	JL	X																					
kw_0608	a.13	A	8	VNH	SIL	JL	X																					
kw_0609	a.13	A	9	MIL	SIL	JL	SO		1										52					BROWN	FUNGUS / SOMETHING FUNKY			
kw_0610	a.13	A	10	BVM	SIL	JL	X																					
kw_0611	a.13	B	1	WHC	SIL	JL	X																					
kw_0612	a.13	B	2	DDW	SIL	JL	SO		1										32					RIPE	LS IS CHEWED			
kw_0613	a.13	B	3	SAD	SIL	JL	SO		0										73					RIPE				
kw_0614	a.13	B	4	MIL	SIL	JL	SO		0										74					RIPE				
kw_0615	a.13	B	5	IRF	SIL	JL	SO		0										44					DEHISCED	NO SEEDS LEFT			
kw_0616	a.13	B	6	BHM	SIL	JL	R																					
kw_0617	a.13	B	7	SIL	SIL	JL	SO		0										54					DEHISCED				
kw_0618	a.13	B	8	ECM	SIL	JL	SO		0										65					DEHISCED				
kw_0619	a.13	B	9	SAD	SIL	JL	R																					
kw_0620	a.13	B	10	MFP	SIL	JL	M																					
kw_0621	a.13	C	1	LTM	SIL	JL	SO		0										47					DEHISCED				
kw_0622	a.13	C	2	LTM	SIL	JL	B		1																			
kw_0623	a.13	C	3	ECM	SIL	JL	SO		0										61					RIPE				
kw_0624	a.13	C	4	JAM	SIL	JL	SO		0										66					DEHISCED				
kw_0625	a.13	C	5	BHS	SIL	JL	R																					
kw_0626	a.13	C	6	BHS	SIL	JL	R																					
kw_0627	a.13	C	7	IRF	SIL	JL	SO		0										46					RIPE				
kw_0628	a.13	C	8	PCS	SIL	JL	X																					
kw_0629	a.13	C	9	BHM	SIL	JL	X																					
kw_0630	a.13	C	10	BSC	SIL	JL	R																					
kw_0631	a.13	D	1	BNK	SIL	JL	X																					
kw_0632	a.13	D	2	MAH	SIL	JL	R																					
kw_0633	a.13	D	3	BNK	SIL	JL	X																					
kw_0634	a.13	D	4	THT	SIL	JL	SO		0										54					RIPE				
kw_0635	a.13	D	5	RUB	SIL	JL	X																					
kw_0636	a.13	D	6	BVC	SIL	JL	X																					
kw_0637	a.13	D	7	PCS	SIL	JL	R																					
kw_0638	a.13	D	8	DDW	SIL	JL	SO		0										48					DEHISCED				
