Plant_ID	Block	Genotype	Site	Obs	Date	Stg	TCO	H	rosLN	rosDLN	rosAD	DamPC
kw_0001	a.01	BHS	ALD	JL		R	0	44	10	5	15	7.5
kw_0002	a.01	MIL	ALD	JL		X						
kw_0003	a.01	SIL	ALD	JL		FO	0	188	0	0	0	0
kw_0004	a.01	THT	ALD	JL		B	0	46	16	3	10	1.875
kw_0005	a.01	BHM	ALD	JL		SO	0	317	1	1	25	25
kw_0006	a.01	THT	ALD	JL		X						
kw_0007	a.01	PAR	ALD	JL		FO	0	168	6	2	5	1.666666667
kw_0008	a.01	VNH	ALD	JL		B	0	133	7	7	50	50
kw_0009	a.01	RUB	ALD	JL		B	0	169	3	3	30	30
kw_0010	a.01	MFP	ALD	JL		X						
kw_0011	a.01	DDW	ALD	JL		FO	0	138	5	5	30	30
kw_0012	a.01	SIL	ALD	JL		R	0	47	12	9	10	7.5
kw_0013	a.01	IRF	ALD	JL		R	1	36	11	11	20	20
kw_0014	a.01	SAD	ALD	JL		X						
kw_0015	a.01	MAH	ALD	JL		B	0	54	2	0	0	0
kw_0016	a.01	DDW	ALD	JL		B	0	113	9	9	10	10
kw_0017	a.01	FLF	ALD	JL		X						
kw_0018	a.01	BSC	ALD	JL		X						
kw_0019	a.01	SAD	ALD	JL		X						
kw_0020	a.01	WHC	ALD	JL		X						
kw_0021	a.01	MIL	ALD	JL		SO	0	220	1	1	30	30
kw_0022	a.01	JAM	ALD	JL		X						
kw_0023	a.01	FLF	ALD	JL		X						
kw_0024	a.01	WHC	ALD	JL		X						
kw_0025	a.01	PAR	ALD	JL		R	1	41	8	2	5	1.25
kw_0026	a.01	BNK	ALD	JL		R	0	43	9	8	15	13.33333333
kw_0027	a.01	PCS	ALD	JL		SO	0	222	1	1	10	10
kw_0028	a.01	LTM	ALD	JL		X						
kw_0029	a.01	BVC	ALD	JL		FO	0	166	1	1	30	30
kw_0030	a.01	VNH	ALD	JL		B	0	126	7	2	10	2.857142857
kw_0031	a.01	BVM	ALD	JL		R	0	42	26	26	15	15
kw_0032	a.01	HMC	ALD	JL		X						
kw_0033	a.01	BSC	ALD	JL		X						
kw_0034	a.01	ECM	ALD	JL		X						
kw_0035	a.01	LTM	ALD	JL		X						
kw_0036	a.01	ECM	ALD	JL		X						
kw_0037	a.01	MAH	ALD	JL		X						
kw_0038	a.01	BVC	ALD	JL		FO	0	140	5	3	10	6
kw_0039	a.01	RUB	ALD	JL		B	0	138	6	6	40	40
kw_0040	a.01	PCS	ALD	JL		FS	0	263	3	2	20	13.33333333
kw_0041	a.01	BNK	ALD	JL		X						
kw_0042	a.01	BHM	ALD	JL		SO	0	247	0	0	0	0
kw_0043	a.01	HMC	ALD	JL		X						
kw_0044	a.01	EGM	ALD	JL		X						
kw_0045	a.01	IRF	ALD	JL		FS	0	210	4	3	5	3.75
kw_0046	a.01	MFP	ALD	JL		X						
kw_0047	a.01	BHS	ALD	JL		R	0	40	11	4	30	10.90909091
kw_0048	a.01	EGM	ALD	JL		X						
kw_0049	a.01	JAM	ALD	JL		X						
kw_0050	a.01	BVM	ALD	JL		B	0	58	8	8	30	30
kw_0051	a.02	BHM	ALD	JL		X						
kw_0052	a.02	MIL	ALD	JL		X						
kw_0053	a.02	SAD	ALD	JL		R	0	43	13	3	5	1.153846154
kw_0054	a.02	BVM	ALD	JL		FO	0	122	5	5	10	10
kw_0055	a.02	RUB	ALD	JL		B	0	117	9	5	10	5.555555556
kw_0056	a.02	FLF	ALD	JL		X						
kw_0057	a.02	LTM	ALD	JL		FO	0	160	0	0	0	0
kw_0058	a.02	SAD	ALD	JL		X						
kw_0059	a.02	HMC	ALD	JL		X						
kw_0060	a.02	ECM	ALD	JL		B	1	71	1	1	5	5
kw_0061	a.02	BVC	ALD	JL		R	0	71	8	4	10	5
kw_0062	a.02	MFP	ALD	JL		X						
kw_0063	a.02	PAR	ALD	JL		X						
kw_0064	a.02	PCS	ALD	JL		FO	0	155	0	0	0	0
kw_0065	a.02	THT	ALD	JL		FO	0	197	3	2	10	6.666666667
kw_0066	a.02	RUB	ALD	JL		B	0	140	6	4	5	3.333333333
kw_0067	a.02	MAH	ALD	JL		X						
kw_0068	a.02	VNH	ALD	JL		B	0	160	4	2	20	10
kw_0069	a.02	BHS	ALD	JL		X						
kw_0070	a.02	SIL	ALD	JL		B	1	58	6	6	20	20
kw_0071	a.02	WHC	ALD	JL		X						
kw_0072	a.02	MAH	ALD	JL		X						
kw_0073	a.02	THT	ALD	JL		R	0	42	18	13	15	10.83333333
kw_0074	a.02	EGM	ALD	JL		FO	0	222	2	1	5	2.5
kw_0075	a.02	BNK	ALD	JL		X						
kw_0076	a.02	IRF	ALD	JL		FS	0	232	5	0	0	0
kw_0077	a.02	DDW	ALD	JL		B	0	134	7	7	5	5
kw_0078	a.02	IRF	ALD	JL		X						
kw_0079	a.02	BNK	ALD	JL		X						
kw_0080	a.02	BSC	ALD	JL		X						
kw_0081	a.02	JAM	ALD	JL		R	1	34	8	4	30	15
kw_0082	a.02	VNH	ALD	JL		FO	0	258	3	3	15	15
kw_0083	a.02	BVM	ALD	JL		R	1	36	17	11	15	9.705882353
kw_0084	a.02	LTM	ALD	JL		X						
kw_0085	a.02	PCS	ALD	JL		FO	0	154	4	1	5	1.25
kw_0086	a.02	BHS	ALD	JL		X						
kw_0087	a.02	JAM	ALD	JL		X						
kw_0088	a.02	BSC	ALD	JL		X						
kw_0089	a.02	PAR	ALD	JL		X						
kw_0090	a.02	WHC	ALD	JL		FO	0	140	0	0	0	0
kw_0091	a.02	MIL	ALD	JL		R	1	33	14	2	25	3.571428571
kw_0092	a.02	BHM	ALD	JL		X						
kw_0093	a.02	MFP	ALD	JL		X						
kw_0094	a.02	HMC	ALD	JL		B	0	63	14	1	5	0.357142857
kw_0095	a.02	ECM	ALD	JL		X						
kw_0096	a.02	SIL	ALD	JL		X						
kw_0097	a.02	BVC	ALD	JL		R	0	72	10	7	15	10.5
kw_0098	a.02	DDW	ALD	JL		X						
kw_0099	a.02	FLF	ALD	JL		X						
kw_0100	a.02	EGM	ALD	JL		B	0	153	6	3	15	7.5
kw_0101	a.03	BNK	ALD	MO		X						
kw_0102	a.03	WHC	ALD	MO		X						
kw_0103	a.03	MFP	ALD	MO		X						
kw_0104	a.03	BSC	ALD	MO		X						
kw_0105	a.03	PAR	ALD	MO		B	1	173	2	0	0	0
kw_0106	a.03	MFP	ALD	MO		X						
kw_0107	a.03	EGM	ALD	MO		FO	0	202	0	0	0	0
kw_0108	a.03	DDW	ALD	MO		B	0	97	3	1	20	6.666666667
kw_0109	a.03	EGM	ALD	MO		R	0	39	15	3	10	2
kw_0110	a.03	ECM	ALD	MO		B	1	90	0	0	0	0
kw_0111	a.03	BVM	ALD	MO		FS	0	207	2	1	20	10
kw_0112	a.03	LTM	ALD	MO		FO	1	169	0	0	0	0
kw_0113	a.03	PCS	ALD	MO		X						
kw_0114	a.03	BHS	ALD	MO		X						
kw_0115	a.03	THT	ALD	MO		R	0	81	8	4	20	10
kw_0116	a.03	PAR	ALD	MO		X						
kw_0117	a.03	ECM	ALD	MO		M						
kw_0118	a.03	IRF	ALD	MO		FO	0	198	0	0	0	0
kw_0119	a.03	MAH	ALD	MO		FS	1	182	1	1	10	10
kw_0120	a.03	FLF	ALD	MO		B	0	101	1	0	0	0
kw_0121	a.03	RUB	ALD	MO		B	1	110	7	4	40	22.85714286
kw_0122	a.03	BHM	ALD	MO		X						
kw_0123	a.03	SAD	ALD	MO		X						
kw_0124	a.03	THT	ALD	MO		X						
kw_0125	a.03	BHM	ALD	MO		FO	0	119	2	2	50	50
kw_0126	a.03	MIL	ALD	MO		X						
kw_0127	a.03	FLF	ALD	MO		X						
kw_0128	a.03	BNK	ALD	MO		X						
kw_0129	a.03	PCS	ALD	MO		X						
kw_0130	a.03	IRF	ALD	MO		B	0	81	1	1	20	20
kw_0131	a.03	BVM	ALD	MO		X						
kw_0132	a.03	JAM	ALD	MO		X						
kw_0133	a.03	VNH	ALD	MO		X						
kw_0134	a.03	HMC	ALD	MO		FO	0	246	0	0	0	0
kw_0135	a.03	VNH	ALD	MO		FO	0	198	0	0	0	0
kw_0136	a.03	JAM	ALD	MO		X						
kw_0137	a.03	MAH	ALD	MO		X						
kw_0138	a.03	RUB	ALD	MO		X						
kw_0139	a.03	BHS	ALD	MO		X						
kw_0140	a.03	SIL	ALD	MO		X						
kw_0141	a.03	BVC	ALD	MO		R	0	53	11	7	20	12.72727273
kw_0142	a.03	DDW	ALD	MO		FS	0	212	8	8	60	60
kw_0143	a.03	SAD	ALD	MO		X						
kw_0144	a.03	SIL	ALD	MO		B	0	115	2	2	40	40
kw_0145	a.03	HMC	ALD	MO		X						
kw_0146	a.03	LTM	ALD	MO		X						
kw_0147	a.03	WHC	ALD	MO		X						
kw_0148	a.03	BSC	ALD	MO		X						
kw_0149	a.03	MIL	ALD	MO		X						
kw_0150	a.03	BVC	ALD	MO		R	0	57	10	4	20	8
kw_0151	a.04	DDW	ALD	CR		X						
kw_0152	a.04	WHC	ALD	CR		X						
kw_0153	a.04	ECM	ALD	CR		R	0	43	11	7	40	25.45454545
kw_0154	a.04	EGM	ALD	CR		X						
kw_0155	a.04	JAM	ALD	CR		X						
kw_0156	a.04	BNK	ALD	CR		X						
kw_0157	a.04	ECM	ALD	CR		X						
kw_0158	a.04	SAD	ALD	CR		FS	0	217	0	0	0	0
kw_0159	a.04	IRF	ALD	CR		FO	0	221	4	1	10	2.5
kw_0160	a.04	MFP	ALD	CR		B	0	134	6	0	0	0
kw_0161	a.04	BVC	ALD	CR		X						
kw_0162	a.04	PCS	ALD	CR		FS	0	263	0	0	0	0
kw_0163	a.04	HMC	ALD	CR		X						
kw_0164	a.04	BVM	ALD	CR		R	0	62	22	14	20	12.72727273
kw_0165	a.04	BVM	ALD	CR		X						
kw_0166	a.04	SIL	ALD	CR		FS	0	234	4	3	20	15
kw_0167	a.04	BNK	ALD	CR		X						
kw_0168	a.04	DDW	ALD	CR		FS	0	239	4	4	10	10
kw_0169	a.04	BHS	ALD	CR		FO	0	127	3	1	10	3.333333333
kw_0170	a.04	WHC	ALD	CR		B	1	192	0	0	0	0
kw_0171	a.04	VNH	ALD	CR		X						
kw_0172	a.04	EGM	ALD	CR		R	1	23	6	2	20	6.666666667
