Site	Block	TAMUpH	conductivity	NO3_N	P	K	Ca	Mg	S	Na	Fe	Zn	Mn	Cu
ALD	a.01	6.6	195	24	45	301	3258	617	6	12	40.57	4.02	42.91	0.33
ALD	a.02	6.4	188	24	38	289	3120	590	6	14	37.09	5.23	52.43	0.35
ALD	a.03	6.2	210	32	38	287	3088	598	12	15	38.5	7.66	58.27	0.35
ALD	a.04	6.3	145	18	41	289	3213	634	8	13	39.17	3.59	40.99	0.36
ALD	a.05	6.2	189	26	47	506	3148	550	8	9	39.307	44.027	47.943	0.329
ALD	a.06	6.3	165	25	57	508	2979	540	9	7	49.43	9.36	40.67	0.39
ALD	a.07	6.1	174	26	66	423	3264	581	8	9	41.8	9.9	51.31	0.33
ALD	a.08	6.4	214	24	44	474	3411	701	11	13	32.64	2.66	36.47	0.33
ALD	a.09	6.4	187	21	36	238	3388	740	10	23	43.13	1.54	28.8	0.39
ALD	a.10	6.4	181	22	39	272	3381	689	9	22	46.24	2.51	28.8	0.38
ALD	a.11	6.3	204	23	51	361	3250	660	11	16	36.65	4.39	30.87	0.36
ALD	a.12	6.4	203	24	41	290	3198	673	10	17	34.28	9.53	39.48	0.34
SIL	a.13	5.9	88	6	8	330	1791	163	4	35	61.57	0.87	18.45	0.46
SIL	a.14	6	78	4	9	383	1995	168	5	52	58.13	1.04	15.62	0.32
SIL	a.15	5.8	79	5	9	388	1828	165	3	67	77.21	1.03	35.27	0.47
SIL	a.16	6	100	4	13	612	2235	221	7	57	69.87	3.16	29.19	0.47
ALD	j.01	6	168	20	50	485	2802	494	12	10	70.01	15.13	29.72	0.4
ALD	j.02	6.1	198	28	48	582	2954	531	12	13	59.99	16.46	30.25	0.35
ALD	j.03	6.1	171	22	41	649	2362	440	8	8	62.61	5.49	31.98	0.4
ALD	j.04	5.9	215	32	46	378	2412	426	12	7	65.7	18.71	29.44	0.37
ALD	j.05	6	237	32	46	441	2501	414	14	8	59.3	9.82	34.71	0.33
ALD	j.06	5.6	163	22	47	391	2299	358	9	7	81.93	10.06	39.13	0.39
ALD	j.07	6.2	234	29	39	428	3367	603	16	9	51.27	20.59	35.55	0.53
ALD	j.08	6.2	248	19	37	295	3071	588	13	16	47.58	3.63	25.68	0.36
